稼働年月日,容量,基盤,ジャンル,メーカー,タイトル,開発元,ジョブカテゴリ,カウント
1973-07-01,AC,-,,SEGA,ポントロン,,0,0
1973-11-01,AC,-,,SEGA,ポントロンII,,0,0
1973-11-01,AC,-,,SEGA,ホッケーTV,,0,0
1974-01-01,AC,-,,SEGA,テーブルホッケー,,0,0
1974-02-01,AC,-,,SEGA,ミニホッケー,,0,0
1974-08-01,AC,-,,SEGA,ゴールキック,フォープレイ,0,0
1974-08-01,AC,-,,SEGA,バルーンガン,,0,0
1975-01-01,AC,-,,SEGA,ダッキーシュート,,0,0
1975-01-01,AC,-,,SEGA,イレース,フォープレイ,0,0
1975-03-01,AC,-,,SEGA,ラストイニング,,0,0
1975-10-01,AC,-,,SEGA,バレットマーク/バレットマークⅡ,,0,0
1976-01-01,AC,-,,SEGA,モトクロス,,0,0
1976-01-01,AC,-,,SEGA,トレーサー,,0,0
1976-02-01,AC,-,,SEGA,ロードレース,,0,0
1976-04-01,AC,-,,SEGA,スパークリングコーナー,,0,0
1976-08-01,AC,-,,SEGA,スコードロン,,0,0
1976-08-01,AC,-,,SEGA,マンT.T.（英語版）,,0,0
1976-08-01,AC,-,,SEGA,ロックンバーク,,0,0
1976-08-01,AC,-,,SEGA,ヘビーウェイトチャンプ,,0,0
1977-01-01,AC,-,,SEGA,コモーション,グレムリン,0,0
1977-01-01,AC,-,,SEGA,チックタッククイズ,,0,0
1977-01-01,AC,-,,SEGA,ツインコース T.T.,,0,0
1977-02-01,AC,-,,SEGA,テーブル・ベースボール,,0,0
1977-03-01,AC,-,,SEGA,クラッシュ・コース,,0,0
1977-04-01,AC,-,,SEGA,ボンバー,,0,0
1977-11-01,AC,-,,SEGA,スーパーボウル,エキシディ,0,0
1977-12-01,AC,-,,SEGA,カーツン・ガン,,0,0
1978-01-01,AC,-,,SEGA,ブレイクオープン,,0,0
1978-01-01,AC,-,,SEGA,シークレットウォー,,0,0
1978-01-01,AC,-,,SEGA,コズミックウォー,,0,0
1978-01-01,AC,-,,SEGA,ジグ・ザグ・ブロック,,0,0
1978-02-01,AC,-,,SEGA,シーソージャンプ,,0,0
1978-02-01,AC,-,,SEGA,ディプス・ボンブ,,0,0
1978-03-01,AC,-,,SEGA,ワールドカップ,,0,0
1978-03-01,AC,-,,SEGA,アマゾニアン,,0,0
1978-04-01,AC,-,,SEGA,ワイルドウッド,,0,0
1978-05-01,AC,-,,SEGA,シーソージャンプ・テーブルII,,0,0
1978-06-01,AC,-,,SEGA,スペースシップ,シネマトロニクス（英語: Cinematronics）,0,0
1978-06-01,AC,-,,SEGA,トップランナー,,0,0
1978-06-01,AC,-,,SEGA,ギャラクシーウォー,,0,0
1978-08-01,AC,-,,SEGA,プロレーサー,,0,0
1978-08-01,AC,-,,SEGA,シークレットベース,,0,0
1978-08-01,AC,-,,SEGA,シグ・ザグ・ブロック,,0,0
1978-08-01,AC,-,,SEGA,プロレーサー,,0,0
1978-11-01,AC,-,,SEGA,フロッグス（英語版）,グレムリン,0,0
1978-12-01,AC,-,,SEGA,センカン・ヤマト,,0,0
1978-12-01,AC,-,,SEGA,スペースファイター,,0,0
1978-12-01,AC,-,,SEGA,キャスリング,,0,0
1979-01-01,AC,-,,SEGA,スーパーブレイクオープン,,0,0
1979-01-01,AC,-,,SEGA,スペースインビンコ,,0,0
1979-01-01,AC,-,,SEGA,ファイアーワン,エキシディ,0,0
1979-01-01,AC,-,,SEGA,ダブルブロックT3,,0,0
1979-01-01,AC,-,,SEGA,スーパーブレイクオープン,,0,0
1979-02-01,AC,-,,SEGA,スペースアタック,,0,0
1979-03-01,AC,-,,SEGA,スリーウェイ・ブロック,,0,0
1979-03-01,AC,-,,SEGA,フォートレス,グレムリン,0,0
1979-04-01,AC,デュアルボード,,SEGA,ヘッドオン,セガ・グレムリン,0,0
1979-06-01,AC,-,,SEGA,アップセットブロック,,0,0
1979-06-01,AC,-,,SEGA,トリプルアタック,,0,0
1979-08-01,AC,-,,SEGA,スターホーク（英語版）,シネマトロニクス,0,0
1979-09-01,AC,-,,SEGA,バスケットボール（英語版）,アタリ,0,0
1979-10-01,AC,デュアルボード,,SEGA,ヘッドオン PartII,セガ・グレムリン,0,0
1979-11-01,AC,デュアルボード,,SEGA,インビンコ,セガ・グレムリン,0,0
1979-11-01,AC,-,,SEGA,モナコGP,,0,0
1979-12-01,AC,-,,SEGA,サンダンス,シネマトロニクス,0,0
