発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,売り上げ本数TOP50,ハード,カセットカラー,ラベル,「対戦」といえば？,「ハイスコア」といえば？,「クリアできなかった」といえば？
1983-07-15,-,1,ACT,任天堂,ドンキーコング,"￥4,500","￥4,500代",88,1,🟥赤,AC移植,-,19位,-
1983-07-15,-,1,ACT,任天堂,ドンキーコングJr.,"￥4,500","￥4,500代",0,1,⬜白,AC移植,-,-,-
1983-07-15,-,1,ACT,任天堂,ポパイ,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1983-08-27,-,1,TAB,任天堂,五目ならべ連珠,"￥4,500","￥4,500代",0,1,◾黒,-,-,-,-
1983-08-27,-,1,TAB,任天堂,麻雀,"￥4,500","￥4,500代",213,1,-,-,-,-,-
1983-09-09,-,1,ACT,任天堂,マリオブラザーズ,"￥4,500","￥4,500代",163,1,🟨黄,対戦+AC移植,01位,10位,-
1983-11-22,-,1,ETC,任天堂,ポパイの英語遊び,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1983-12-07,-,1,SPT,任天堂,ベースボール,"￥4,500","￥4,500代",235,1,🟦青,対戦,12位,-,-
1983-12-12,-,1,ETC,任天堂,ドンキーコングJr.の算数遊び,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1984-01-14,-,1,SPT,任天堂,テニス,"￥4,500","￥4,500代",156,1,-,対戦,16位,-,-
1984-02-02,-,1,TAB,任天堂,ピンボール,"￥4,500","￥4,500代",0,1,🟨黄,-,-,08位,-
1984-02-18,-,1,SHT,任天堂,ワイルドガンマン,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1984-04-21,-,1,SHT,任天堂,ダックハント,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1984-05-01,-,1,SPT,任天堂,ゴルフ,"￥4,500","￥4,500代",246,1,🟦青,-,-,-,-
1984-06-12,-,1,SHT,任天堂,ホーガンズアレイ,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1984-06-21,-,2,ETC,任天堂,ファミリーベーシック,"￥14,800","￥15,000代",0,1,-,-,-,-,-
1984-07-04,-,1,SHT,任天堂,ドンキーコング3,"￥4,500","￥4,500代",0,1,🟥赤,-,-,-,-
1984-07-28,-,1,ACT,ハドソン,ナッツ＆ミルク,"￥4,500","￥4,500代",0,1,🟦青,-,-,-,-
1984-07-31,-,1,PZL,ハドソン,ロードランナー,"￥4,500","￥4,500代",110,1,🟨黄,PC移植,-,-,-
1984-09-07,-,1,SHT,ナムコ,ギャラクシアン,"￥4,500","￥4,500代",0,1,-,AC移植,-,-,-
1984-10-05,-,1,ACT,任天堂,デビルワールド,"￥4,500","￥4,500代",0,1,🟦青,-,-,-,-
1984-11-02,-,1,TAB,任天堂,4人打ち麻雀,"￥4,500","￥4,500代",145,1,-,-,-,-,-
1984-11-02,-,1,RAC,任天堂,F1レース,"￥4,500","￥4,500代",152,1,-,-,-,-,-
1984-11-02,-,1,ACT,ナムコ,パックマン,"￥4,500","￥4,500代",0,1,-,AC移植,-,18位,-
1984-11-08,-,2,SHT,ナムコ,ゼビウス,"￥4,900","￥5,000代",127,1,◾黒,AC移植,-,03位,-
1984-11-14,-,1,ACT,任天堂,アーバンチャンピオン,"￥4,500","￥4,500代",0,1,🟦青,対戦,05位,-,-
1984-11-14,-,1,ACT,ナムコ,マッピー,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1984-11-22,-,1,PZL,任天堂,クルクルランド,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1984-11-30,-,1,RAC,任天堂,エキサイトバイク,"￥5,500","￥5,500代",157,1,🟥赤,-,-,-,-
1985-01-22,-,1,ACT,任天堂,バルーンファイト,"￥4,500","￥4,500代",0,1,⬜白,対戦,07位,11位,-
1985-01-30,-,1,ACT,任天堂,アイスクライマー,"￥4,500","￥4,500代",100,1,🟦青,対戦,06位,19位,-
1985-02-11,-,1,SHT,ジャレコ,エクセリオン,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1985-02-21,-,2,ETC,任天堂,ファミリーベーシックV3,"￥9,800","￥10,000代",0,1,-,-,-,-,-
1985-02-22,-,1,SHT,ハドソン,バンゲリングベイ,"￥4,900","￥5,000代",0,1,◾黒,-,-,-,20位
1985-03-14,-,1,SHT,ナムコ,ギャラガ,"￥4,500","￥4,500代",0,1,-,AC移植,-,14位,-
1985-04-04,-,1,SHT,ジャレコ,フォーメーションZ,"￥4,500","￥4,500代",0,1,-,AC移植,-,-,-
1985-04-09,-,2,SPT,任天堂,サッカー,"￥4,900","￥5,000代",153,1,-,-,-,-,-
1985-04-17,-,1,SHT,タイトー,スペースインベーダー,"￥4,500","￥4,500代",0,1,-,AC移植,-,-,-
1985-04-17,-,1,PZL,ハドソン,チャンピオンシップロードランナー,"￥4,900","￥5,000代",0,1,⬜白,-,-,-,13位
1985-04-22,-,1,ACT,コナミ,イーアルカンフー,"￥4,500","￥4,500代",0,1,-,対戦+AC移植,14位,-,-
1985-04-22,-,1,ACT,コナミ,けっきょく南極大冒険,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1985-05-10,-,1,ACT,ジャレコ,忍者くん魔城の冒険,"￥4,500","￥4,500代",0,1,-,AC移植,-,-,-
1985-05-24,-,1,PZL,タイトー,ちゃっくんぽっぷ,"￥4,500","￥4,500代",0,1,-,AC移植,-,-,-
1985-06-04,-,1,ACT,ナムコ,ディグダグ,"￥4,500","￥4,500代",0,1,-,AC移植,-,-,-
1985-06-14,-,2,PZL,デービーソフト,フラッピー,"￥5,500","￥5,500代",0,1,🟨黄,-,-,-,-
1985-06-18,-,2,ACT,任天堂,レッキングクルー,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1985-06-21,-,2,ACT,任天堂,スパルタンX,"￥4,900","￥5,000代",142,1,-,AC移植,-,-,-
1985-06-21,-,1,SPT,コナミ,ハイパーオリンピック,"￥4,500","￥4,500代",0,1,-,AC移植,-,-,-
1985-06-21,-,2,SPT,コナミ,ハイパーオリンピック殿様版(限定発売),"￥4,500","￥4,500代",0,1,-,AC移植,-,-,-
1985-06-25,-,1,SHT,ハドソン,スターフォース,"￥4,900","￥5,000代",0,1,🟦青,AC移植,-,04位,-
1985-06-28,-,2,ACT,タイトー,エレベーターアクション,"￥4,900","￥5,000代",0,1,-,AC移植,-,-,-
1985-07-01,-,1,ACT,ジャレコ,フィールドコンバット,"￥4,500","￥4,500代",0,1,-,AC移植,-,-,-
1985-07-11,-,1,RAC,コナミ,ロードファイター,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1985-07-12,-,1,ACT,ナムコ,ワープマン,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1985-07-18,-,1,RAC,アイレム,ジッピーレース,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1985-07-18,-,1,PZL,エニックス,ドアドア,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1985-07-25,-,1,ACT,サンソフト,スーパーアラビアン,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1985-07-26,-,2,ETC,任天堂,ブロック,"￥4,800","￥5,000代",0,1,-,-,-,-,-
1985-08-01,-,1,ACT,タイトー,フロントライン,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1985-08-01,-,1,TAB,セタ,本将棋内藤九段将棋秘伝,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1985-08-06,-,2,ACT,ナムコ,ドルアーガの塔,"￥4,900","￥5,000代",0,1,-,-,-,-,17位
1985-08-09,-,2,ACT,アスキー,アストロロボSASA,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1985-08-13,-,2,ETC,任天堂,ジャイロ,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1985-08-28,-,2,SHT,アスキー,ゲイモス,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1985-08-30,-,1,SPT,アイレム,10ヤードファイト,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1985-09-09,-,1,ACT,ナムコ,バトルシティー,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1985-09-13,-,2,ACT,任天堂,スーパーマリオブラザーズ,"￥4,900","￥5,000代",681,1,🟨黄,-,-,06位,-
1985-09-20,-,1,ACT,ハドソン,プーヤン,"￥4,900","￥5,000代",0,1,⬜白,-,-,-,-
1985-09-27,-,1,SPT,コナミ,ハイパースポーツ,"￥4,500","￥4,500代",0,1,-,-,-,-,-
1985-09-27,-,1,RAC,ジャレコ,シティコネクション,"￥4,900","￥5,000代",0,1,🟨黄,-,-,-,-
1985-10-04,-,2,RAC,サンソフト,ルート16ターボ,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1985-10-15,-,2,ACT,ハドソン,チャレンジャー,"￥4,900","￥5,000代",0,1,-,-,-,-,15位
1985-11-08,-,1,ACT,バンダイ,キン肉マンマッスルタッグマッチ,"￥4,900","￥5,000代",105,1,🟥赤,対戦,09位,-,-
1985-11-14,-,1,SHT,タイトー,スカイデストロイヤー,"￥4,500","￥4,500代",0,1,-,-,-,-,-
