発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント
1989-04-21,1,1,PZL,任天堂,アレイウェイ,"￥2,600","￥2,500代",0
1989-04-21,1,2,ACT,任天堂,スーパーマリオランド,"￥2,600","￥2,500代",419
1989-04-21,1,2,SPT,任天堂,ベースボール,"￥2,600","￥2,500代",0
1989-04-21,1,1,TBL,任天堂,役満,"￥2,600","￥2,500代",128
1989-05-29,1,1,SPT,任天堂,テニス,"￥2,600","￥2,500代",0
1989-06-14,1,1,PZL,任天堂,テトリス,"￥2,600","￥2,500代",424
1989-07-28,1,1,PZL,HAL研究所,上海,"￥2,980","￥3,000代",0
1989-09-01,1,1,PZL,ポニーキャニオン,倉庫番,"￥3,090","￥3,000代",0
1989-09-05,1,2,ACT,ケムコ,ミッキーマウス,"￥2,980","￥3,000代",0
1989-09-20,1,1,RAC,コナミ,モトクロスマニアックス,"￥2,900","￥3,000代",0
1989-09-21,1,1,ACT,バンダイ,ハイパーロードランナー,"￥2,800","￥3,000代",0
1989-10-18,1,2,TBL,HAL研究所,ピンボール66匹のワニ大行進,"￥2,980","￥3,000代",0
1989-10-27,1,2,ACT,コナミ,ドラキュラ伝説,"￥3,300","￥3,500代",0
1989-10-31,1,2,SPT,トンキンハウス,シーサイドバレー,"￥2,980","￥3,000代",0
1989-11-24,1,1,PZL,アトラス,パズルボーイ,"￥2,980","￥3,000代",0
1989-11-28,1,3,SPT,任天堂,ゴルフ,"￥2,600","￥2,500代",0
1989-12-08,1,2,ETC,ココナッツジャパンエンターテイメント,パチンコタイム,"￥3,280","￥3,500代",0
1989-12-15,1,3,RPG,スクウェア,魔界塔士SaGa,"￥3,500","￥3,500代",110
1989-12-19,1,3,TBL,ポニーキャニオン,将棋,"￥3,400","￥3,500代",0
1989-12-22,1,1,PZL,セタ,Qビリオン,"￥2,980","￥3,000代",0
1989-12-22,1,2,SLG,ユース,海戦ゲームNAVYBLUE,"￥3,400","￥3,500代",0
1989-12-22,1,3,ACT,東映動画,北斗の拳凄絶十番勝負,"￥3,500","￥3,500代",0
1989-12-27,1,2,ACT,アスミック,てけてけ！アスミッくんワールド,"￥3,090","￥3,000代",0
1989-12-28,1,3,RPG,ケムコ,セレクション選ばれし者,"￥3,090","￥3,000代",0
1989-12-28,1,1,ACT,ユタカ,マスターカラテカ,"￥2,900","￥3,000代",0
1990-01-12,1,2,TBL,ジャレコ,ヒーロー大集合！！ピンボールパーティ,"￥2,980","￥3,000代",0
1990-01-13,1,1,SPT,アテナ,ワールドボウリング,"￥3,090","￥3,000代",0
1990-01-14,1,1,ACT,メルダック,平安京エイリアン,"￥3,000","￥3,000代",0
1990-01-26,1,2,STG,任天堂,ソーラーストライカー,"￥2,600","￥2,500代",0
1990-02-09,1,1,TBL,河田,オセロ,"￥2,980","￥3,000代",0
1990-02-23,1,3,STG,コナミ,ネメシス,"￥3,500","￥3,500代",0
1990-02-23,1,2,TBL,トーワチキ,対局連珠,"￥2,980","￥3,000代",0
1990-03-15,1,3,SPT,ジャレコ,ベースボールキッズ,"￥3,300","￥3,500代",0
1990-03-16,1,2,PZL,コナミ,クォース,"￥3,300","￥3,500代",0
1990-03-16,1,1,PZL,タイトー,フリップル,"￥3,090","￥3,000代",0
1990-03-21,1,1,PZL,ポニーキャニオン,ペンギンランド,"￥3,090","￥3,000代",0
1990-03-23,1,1,PZL,ビクター音楽産業,フラッピースペシャル,"￥3,300","￥3,500代",0
1990-03-24,1,3,SLG,バンダイ,SD戦国伝国盗り物語,"￥3,500","￥3,500代",0
1990-03-29,1,1,TBL,パック・イン・ビデオ,トランプボーイ,"￥3,090","￥3,000代",0
1990-03-30,1,1,STG,タイトー,スペースインベーダーズ,"￥3,090","￥3,000代",0
1990-03-30,1,2,ACT,アスキー,ペンギンくんwarsvs.,"￥3,090","￥3,000代",0
1990-04-06,1,1,PZL,ナグザット,かこむん蛇,"￥3,090","￥3,000代",0
1990-04-13,1,2,PZL,バンプレスト,SDルパン3世金庫破り大作戦,"￥3,300","￥3,500代",0
1990-04-13,1,2,ACT,任天堂,クイックス,"￥2,600","￥2,500代",0
1990-04-13,1,2,ACT,サン電子,バットマン,"￥3,400","￥3,500代",0
1990-04-13,1,2,PZL,エポック社,爆裂戦士ウォーリア,"￥3,090","￥3,000代",0
1990-04-20,1,2,ACT,カルチャーブレーン,スーパーチャイニーズランド,"￥3,300","￥3,500代",0
1990-04-20,1,2,RAC,コピアシステム,デットヒートスクランブル,"￥3,300","￥3,500代",0
1990-04-20,1,2,PZL,トンキンハウス,ブロディア,"￥3,000","￥3,000代",0
1990-04-20,1,3,PZL,シグマ商事,ポパイ,"￥3,500","￥3,500代",0
1990-04-20,1,1,PZL,ビック東海,冒険！パズルロード,"￥2,980","￥3,000代",0
1990-04-27,1,2,SPT,エピック・ソニーレコード,サッカーボーイ,"￥3,000","￥3,000代",0
1990-04-27,1,3,STG,メルダック,天神怪戦,"￥3,500","￥3,500代",0
1990-04-28,1,2,PZL,ケムコ,スヌーピーマジックショー,"￥2,980","￥3,000代",0
1990-05-02,1,3,ACT,カプコン,レッドアリーマー魔界村外伝,"￥3,300","￥3,500代",0
1990-05-11,1,2,PZL,データイースト,ロックンチェイス,"￥3,300","￥3,500代",0
1990-05-18,1,2,SPT,トンキンハウス,ボクシング,"￥3,000","￥3,000代",0
1990-05-25,1,2,RPG,セタ,あやかしの城,"￥3,500","￥3,500代",0
1990-05-26,1,2,SLG,バンダイ,ウルトラマン倶楽部敵怪獣ヲ発見セヨ,"￥3,300","￥3,500代",0
1990-06-01,1,1,PZL,アスク講談社,ピットマン,"￥2,980","￥3,000代",0
1990-06-08,1,3,STG,アトラス,コスモタンク,"￥3,500","￥3,500代",0
1990-06-15,1,2,TBL,ココナッツジャパンエンターテイメント,カードゲーム,"￥3,400","￥3,500代",0
1990-06-15,1,2,STG,トミー,メカ生体ゾイドゾイド伝説,"￥3,090","￥3,000代",0
1990-06-15,1,2,PZL,SNK,ファニーフィールド,"￥3,090","￥3,000代",0
1990-06-22,1,1,PZL,ポニーキャニオン,倉庫番2,"￥3,090","￥3,000代",0
1990-06-27,1,2,STG,タイトー,ブライファイターデラックス,"￥3,400","￥3,500代",0
1990-06-29,1,1,STG,東映動画,バリーファイア,"￥3,200","￥3,000代",0
1990-07-03,1,1,PZL,BPS,パイプドリーム,"￥3,090","￥3,000代",0
1990-07-13,1,1,PZL,アイレム,四川省,"￥3,090","￥3,000代",0
1990-07-20,1,3,ACT,テクノスジャパン,ダブルドラゴン,"￥3,500","￥3,500代",0
1990-07-27,1,1,ACT,ポニーキャニオン,タスマニア物語,"￥3,090","￥3,000代",0
1990-07-27,1,1,PZL,任天堂,ドクターマリオ,"￥2,600","￥2,500代",208
1990-07-28,1,2,ACT,バンプレスト,らんま1/2かくれんぼデスマッチ,"￥3,300","￥3,500代",0
1990-07-31,1,2,PZL,タイトー,パズニック,"￥3,400","￥3,500代",0
1990-08-02,1,1,PZL,アスキー,石道,"￥3,090","￥3,000代",0
1990-08-03,1,3,ACT,コナミ,TMNT,"￥3,500","￥3,500代",0
1990-08-04,1,3,ACT,ユタカ,魁！！男塾冥凰島決戦,"￥3,500","￥3,500代",0
1990-08-08,1,2,PZL,ナツメ,おさわがせ！ペンギンBOY,"￥3,090","￥3,000代",0
1990-08-10,1,2,ACT,ユース,VSバトラー,"￥3,400","￥3,500代",0
1990-08-11,1,1,PZL,徳間書店,香港,"￥2,900","￥3,000代",0
1990-08-12,1,1,RPG,エポック社,ドラゴンスレイヤー1,"￥3,090","￥3,000代",0
1990-08-24,1,3,SLG,バップ,パワーミッション,"￥3,500","￥3,500代",0
