発売日,バックアップメモリ,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント
2001-03-21,1,3,ETC,キューネット,EZ-TALK初級編1,"￥6,000","￥6,000代",0
2001-03-21,1,3,ETC,キューネット,EZ-TALK初級編2,"￥6,000","￥6,000代",0
2001-03-21,1,3,ETC,キューネット,EZ-TALK初級編3,"￥6,000","￥6,000代",0
2001-03-21,1,3,ETC,キューネット,EZ-TALK初級編4,"￥6,000","￥6,000代",0
2001-03-21,1,3,ETC,キューネット,EZ-TALK初級編5,"￥6,000","￥6,000代",0
2001-03-21,1,3,ETC,キューネット,EZ-TALK初級編6,"￥6,000","￥6,000代",0
2001-03-21,1,2,RAC,任天堂,F-ZEROFORGAMEBOYADVANCE,"￥4,800","￥5,000代",0
2001-03-21,3,3,SPT,コナミ,JGTO公認GOLFMASTER～JAPANGOLFTOURGAME～,"￥5,800","￥6,000代",0
2001-03-21,1,3,SLG,コナミ,Jリーグポケット,"￥5,800","￥6,000代",0
2001-03-21,1,3,RAC,エム・ティー･オー,アドバンスGTA,"￥4,980","￥5,000代",0
2001-03-21,3,2,SLG,コーエー,ウイニングポストforゲームボーイアドバンス,"￥5,600","￥5,500代",0
2001-03-21,1,2,ACT,任天堂,くるくるくるりん,"￥4,800","￥5,000代",0
2001-03-21,1,2,RAC,コナミ,コナミワイワイレーシングアドバンス,"￥5,800","￥6,000代",0
2001-03-21,5,2,ACT,任天堂,スーパーマリオアドバンス,"￥4,800","￥5,000代",64
2001-03-21,3,2,ACT,セガ,チュ-チュ-ロケット！,"￥4,800","￥5,000代",0
2001-03-21,1,2,ETC,ケムコ,トゥイティーのハーティーパーティー,"￥4,980","￥5,000代",0
2001-03-21,1,3,SLG,任天堂,ナポレオン,"￥4,800","￥5,000代",0
2001-03-21,1,3,RPG,カプコン,バトルネットワークロックマンエグゼ,"￥4,800","￥5,000代",0
2001-03-21,1,3,SPT,コナミ,パワプロクンポケット3,"￥5,800","￥6,000代",0
2001-03-21,1,2,ACT,ハドソン,ピノビィーの大冒険,"￥4,800","￥5,000代",0
2001-03-21,3,3,SPT,スパイク,ファイヤープロレスリングA,"￥5,800","￥6,000代",0
2001-03-21,1,3,NOV,コナミ,プレイノベルサイレントヒル,"￥5,800","￥6,000代",0
2001-03-21,1,3,SLG,タム,ぼくは航空管制官,"￥5,800","￥6,000代",0
2001-03-21,1,2,ACT,ナムコ,ミスタードリラー2,"￥4,800","￥5,000代",0
2001-03-21,1,3,RPG,コナミ,モンスターガーディアンズ,"￥5,800","￥6,000代",0
2001-03-21,1,3,ACT,コナミ,悪魔城ドラキュラCircleoftheMoon,"￥5,800","￥6,000代",0
2001-03-21,3,2,RAC,ケムコ,全国GT選手権,"￥5,200","￥5,000代",0
2001-03-21,1,2,ETC,ハドソン,桃太郎まつり,"￥5,200","￥5,000代",0
2001-03-21,1,2,SPT,アトラス,爆熱ドッジボールファイターズ,"￥4,980","￥5,000代",0
2001-03-21,3,3,SLG,コナミ,遊戯王ダンジョンダイスモンスターズ,"￥5,800","￥6,000代",0
2001-04-26,3,2,RPG,コナミ,GetBackers奪還屋～地獄のスカラムーシュ～,"￥5,800","￥6,000代",0
2001-04-26,1,3,SLG,コナミ,耽美夢想マイネリーベ,"￥5,800","￥6,000代",0
2001-04-27,1,2,PZL,ジョルダン,スペースヘキサイト～メーテル/レジェンドEX～,"￥5,300","￥5,500代",0
2001-04-27,1,3,ACT,エポック社,ドラえもん緑の惑星ドキドキ大救出！,"￥4,800","￥5,000代",0
2001-04-27,1,2,RPG,ハドソン,ボンバーマンストーリー,"￥5,200","￥5,000代",0
2001-05-25,5,2,ACT,カプコン,ファイナルファイトONE,"￥4,800","￥5,000代",0
2001-06-21,3,3,RPG,任天堂,タクティクスオウガ外伝TheKnightofLodis,"￥4,800","￥5,000代",0
2001-06-28,1,3,SHT,グローバル,トイロボフォース,"￥5,200","￥5,000代",0
2001-06-29,1,2,RAC,タカラ,チョロQアドバンス,"￥4,800","￥5,000代",0
2001-06-29,1,3,RPG,カプコン,優駿ラプソディ～♪,"￥4,800","￥5,000代",0
2001-07-05,1,3,CARD,コナミ,遊戯王デュエルモンスターズ5エキスパート1,"￥5,800","￥6,000代",0
2001-07-06,5,3,RPG,カプコン,ブレスオブファイア竜の戦士,"￥4,800","￥5,000代",0
2001-07-12,1,2,TAB,ハドソン,森田将棋あどばんす,"￥5,800","￥6,000代",0
2001-07-12,1,2,TAB,ハドソン,麻雀刑事,"￥5,200","￥5,000代",0
2001-07-13,1,2,TAB,タカラ,EXモノポリー,"￥5,800","￥6,000代",0
2001-07-13,5,3,ACT,カプコン,スーパーストリートファイター2XREVIVAL,"￥4,800","￥5,000代",0
2001-07-13,1,2,ADV,エム・ティー･オー,みんなの飼育シリーズ(1)ぼくのカブト虫,"￥5,200","￥5,000代",0
2001-07-19,5,2,ACT,ナムコ,風のクロノア～夢見る帝国～,"￥5,300","￥5,500代",0
2001-07-21,3,2,RAC,任天堂,マリオカートアドバンス,"￥4,800","￥5,000代",77
2001-07-26,3,3,SPT,コナミ,JGTO公認GOLFMASTERモバイルJAPANGOLFTOURGAME,"￥5,800","￥6,000代",0
2001-07-26,1,3,SLG,コナミ,スタコミ,"￥5,800","￥6,000代",0
2001-07-26,3,3,SLG,コナミ,モバイルプロ野球監督の采配,"￥5,800","￥6,000代",0
2001-07-26,1,3,SPT,コナミ,筋肉番付金剛君の大冒険！,"￥5,800","￥6,000代",0
2001-07-27,3,2,RPG,メディアリング,ゼロ・ツアーズ,"￥5,480","￥5,500代",0
2001-08-01,3,3,RPG,任天堂,黄金の太陽開かれし封印,"￥4,800","￥5,000代",0
2001-08-03,1,3,RPG,アスミック・エース,ドカポンQモンスターハンター！,"￥4,800","￥5,000代",0
2001-08-03,1,2,ADV,エム・ティー･オー,みんなの飼育シリーズ(2)ぼくのクワガタ,"￥5,200","￥5,000代",0
2001-08-09,1,2,SLG,コナミ,ジュラシックパーク3恐竜にあいにいこう！,"￥5,800","￥6,000代",0
2001-08-10,1,2,SLG,スターフィッシュ,スーパーブラックバスアドバンス,"￥4,800","￥5,000代",0
2001-08-10,1,3,TAB,アテナ,極麻雀デラックス未来戦士21,"￥5,200","￥5,000代",0
2001-08-21,1,3,ACT,任天堂,ワリオランドアドバンスヨーキーのお宝,"￥4,800","￥5,000代",0
2001-08-30,5,3,ACT,コナミ,ジュラシックパーク3アドバンスアクション,"￥5,800","￥6,000代",0
2001-08-31,1,3,ETC,キーネット,高校受験アドバンスシリーズ英語構文編,"￥6,800","￥7,000代",0
2001-08-31,1,3,ETC,キーネット,高校受験アドバンスシリーズ英熟語編,"￥6,800","￥7,000代",0
2001-08-31,1,3,ETC,キーネット,高校受験アドバンスシリーズ英単語編,"￥6,800","￥7,000代",0
2001-09-07,3,3,RPG,イマジニア,メダロット・ナビカブト,"￥5,800","￥6,000代",0
2001-09-07,3,3,RPG,イマジニア,メダロット・ナビクワガタ,"￥5,800","￥6,000代",0
2001-09-07,5,3,ADV,マーベラス,ラブひなアドバンス祝福の鐘はなるかな,"￥5,800","￥6,000代",0
2001-09-13,3,2,RPG,ハドソン,ロボットポンコッツ3クロス,"￥5,200","￥5,000代",0
2001-09-13,3,2,RPG,ハドソン,ロボットポンコッツ3リング,"￥5,200","￥5,000代",0
2001-09-13,6,2,CARD,ＫＣＥ東京,幻想水滸伝カードストーリーズ,"￥5,800","￥6,000代",0
2001-09-20,1,3,CARD,コナミ,FIELDOFNINEDIGITALEDITION2001,"￥5,800","￥6,000代",0
2001-09-21,3,3,SLG,バンプレスト,スーパーロボット大戦A,"￥5,800","￥6,000代",0
2001-09-27,3,3,RPG,コナミ,Z.O.E2173TESTAMENT,"￥5,800","￥6,000代",0
2001-09-28,3,3,SLG,コーエー,信長の野望,"￥6,800","￥7,000代",0
2001-09-28,1,2,TAB,メディアリング,西原理恵子の殿堂麻雀,"￥4,800","￥5,000代",0
2001-10-04,1,2,PZL,ハドソン,ハテナサテナ,"￥5,200","￥5,000代",0
