発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,カウント
2001-09-14,-,"￥7,000代",RCG,任天堂,ウェーブレース ブルーストーム,,3771,0
2001-09-14,-,"￥7,000代",ACT,任天堂,ルイージマンション,,3772,0
2001-09-14,-,"￥6,000代",ACT,セガ,スーパーモンキーボール,,3779,0
2001-10-26,-,"￥7,000代",ACT,任天堂,ピクミン,,3781,0
2001-11-15,-,"￥7,000代",SPT,エレクトロニック・アーツ,FIFA2002 ロード トゥ FIFA ワールドカップ,サッカー,3773,0
2001-11-21,-,"￥7,000代",FTG,任天堂,大乱闘スマッシュブラザーズDX,,3782,0
2001-12-07,-,"￥7,000代",ACT,ケムコ,ユニバーサル・スタジオ・ジャパン・アドベンチャー,,3777,0
2001-12-14,-,"￥7,000代",SLG,任天堂,どうぶつの森+,,3778,0
2001-12-20,-,"￥7,000代",ACT,セガ,ソニックアドベンチャー2 バトル,,3783,0
2001-12-27,-,"￥6,000代",SPT,エレクトロニック･アーツ,SSXトリッキー,,3784,0
2002-01-31,-,"￥7,000代",SPT,コナミ,ハイパースポーツ2002 ウインター,,3785,0
2002-02-14,-,"￥7,000代",SPT,セガ,バーチャストライカー3 Ver.2002,サッカー,3786,0
2002-02-21,-,-,-,任天堂,動物番長,,3787,0
2002-03-14,-,-,-,コナミ,実況ワールドサッカー2002,,3876,0
2002-03-14,-,-,-,任天堂,巨人のドシン,,3812,0
2002-03-15,-,-,-,アクレイムジャパン,エクストリームG3,,3879,0
2002-03-20,-,-,-,コナミ,グルーヴアドベンチャーレイヴ ファイティングライブ,,3877,0
2002-03-22,-,-,-,エレクトロニック･アーツ,NBAストリート,,3878,0
2002-03-22,-,-,-,エレクトロニック･アーツ,スター・ウォーズ ローグ スコードロン2,,3831,0
2002-03-22,39,"￥7,000代",ACT,カプコン,バイオハザード,,3894,0
2002-03-29,-,-,-,コーエー,バトル封神,,3895,0
2002-03-29,-,-,-,任天堂,NBAコートサイド2002,,3896,0
2002-04-25,-,-,-,ハドソン,ブラッディロア エクストリーム,,3897,0
2002-04-25,-,-,-,フロム・ソフトウェア,ルーン,,3788,0
2002-05-02,-,-,-,エレクトロニック・アーツ,2002 FIFAワールドカップ,,3898,0
2002-05-30,-,-,-,セガ,クレイジータクシー,,3899,0
