発売日,メモリ,容量(bit),価格,ハード,タイトル,ジャンル,ジョブカテゴリ,カウント
1999-03-04,0,0,🚧,WS,GUNPEY,PZL,0,0
1999-03-04,0,0,🚧,WS,チョコボの不思議なダンジョン  for ワンダースワン,RPG,0,0
1999-03-04,0,0,🚧,WS,新日本プロレスリング闘魂烈伝,SPT,0,0
1999-03-04,0,0,🚧,WS,電車でGO!,ETC,0,0
1999-03-04,0,0,🚧,WS,ぷよぷよ通,PZL,0,0
1999-03-04,0,0,🚧,WS,ワンダースタジアム,SPT,0,0
1999-03-04,0,0,🚧,WS,信長の野望 for WonderSwan,SLG,0,0
1999-03-04,0,0,🚧,WS,麻雀登龍門,TBL,0,0
1999-03-04,0,0,🚧,WS,デジタルモンスター Ver.WonderSwan,SLG,0,0
1999-03-04,0,0,🚧,WS,海釣りに行こう！,SPT,0,0
1999-03-04,0,0,🚧,WS,語楽王 TANGO!,PZL,0,0
1999-03-04,0,0,🚧,WS,三國志 for WonderSwan,SLG,0,0
1999-03-04,0,0,🚧,WS,上海Pocket,PZL,0,0
1999-03-04,0,0,🚧,WS,ナイスオン,SPT,0,0
1999-03-04,0,0,🚧,WS,元祖じゃじゃ丸くん,ACT,0,0
1999-03-04,0,0,🚧,WS,子育てクイズどこでもマイエンジェル,QIZ,0,0
1999-03-04,0,0,🚧,WS,beatmania for WonderSwan,SLG,0,0
1999-03-04,0,0,🚧,WS,スーパーロボット大戦 COMPACT,RPG,0,0
1999-03-04,0,0,🚧,WS,メダロット・パーフェクトエディション（カブトバージョン）,RPG,0,0
1999-03-04,0,0,🚧,WS,メダロット・パーフェクトエディション（クワガタバージョン）,RPG,0,0
1999-03-04,0,0,🚧,WS,スペースインベーダー,STG,0,0
1999-03-04,0,0,🚧,WS,ワンダースワンハンディーソナー,ETC,0,0
1999-03-04,0,0,🚧,WS,風のクロノア～Moonlight Museum～,PZL,0,0
1999-03-04,0,0,🚧,WS,SDガンダム エモーショナルジャム,SLG,0,0
1999-03-04,0,0,🚧,WS,ラストスタンド,RPG,0,0
1999-03-04,0,0,🚧,WS,カオスギア～導かれし者～,SLG,0,0
1999-03-04,0,0,🚧,WS,鉄拳カードチャレンジ,ACT,0,0
1999-03-04,0,0,🚧,WS,アンカーズ・フィールド,SLG,0,0
1999-03-04,0,0,🚧,WS,ヴァイツブレイド,RPG,0,0
1999-03-04,0,0,🚧,WS,トランプコレクション ボトムアップ的トランプ生活,TBL,0,0
1999-03-04,0,0,🚧,WS,パズルボブル,PZL,0,0
1999-03-04,0,0,🚧,WS,徹萬,TBL,0,0
1999-03-04,0,0,🚧,WS,新世紀エヴァンゲリオン シト育成,SLG,0,0
1999-03-04,0,0,🚧,WS,魔界村 for WonderSwan,ACT,0,0
1999-03-04,0,0,🚧,WS,クレイジークライマー,ACT,0,0
1999-03-04,0,0,🚧,WS,TERRORS,NOV,0,0
1999-03-04,0,0,🚧,WS,名探偵コナン　魔術師の挑戦状！,ADV,0,0
1999-03-04,0,0,🚧,WS,サッカーやろう！～Challenge The World～,SPT,0,0
1999-03-04,0,0,🚧,WS,Mobile Suit GUNDAM MSVS（エムエスバーサス）,SLG,0,0
1999-03-04,0,0,🚧,WS,競馬予想支援ソフト 予想進化論,ETC,0,0
1999-03-04,0,0,🚧,WS,ワンダースタジアム'99,SPT,0,0
1999-03-04,0,0,🚧,WS,格闘料理伝説ビストロレシピ～ワンダーバトル編～,RPG,0,0
1999-03-04,0,0,🚧,WS,ハロボッツ,RPG,0,0
1999-03-04,0,0,🚧,WS,プロ麻雀 極 for WonderSwan,TBL,0,0
1999-03-04,0,0,🚧,WS,電車でGO!2,ETC,0,0
1999-03-04,0,0,🚧,WS,マジカルドロップ for ワンダースワン,PZL,0,0
1999-03-04,0,0,🚧,WS,Engacho!(えんがちょ！)  for ワンダースワン,ETC,0,0
1999-03-04,0,0,🚧,WS,ロックマン＆フォルテ～未来からの挑戦者～,ACT,0,0
1999-03-04,0,0,🚧,WS,将棋登龍門,TBL,0,0
1999-03-04,0,0,🚧,WS,ミングルマグネット,PZL,0,0
1999-03-04,0,0,🚧,WS,Armored Unit,SLG,0,0
1999-03-04,0,0,🚧,WS,競争馬育成シミュレーション KEIBA,SLG,0,0
1999-03-04,0,0,🚧,WS,謎王 Pocket,QIZ,0,0
1999-03-04,0,0,🚧,WS,TURNTABLIST -DJバトル-,ACT,0,0
