発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,クロスレビュー(評価)
1987-10-30,PCE,2M,ACT,ハドソン,ビックリマンワールド(Vol.2),"￥4,500","￥4,500代",0,-
1987-10-30,PCE,1M,PUZ,ハドソン,上海(Vol.4),"￥4,500","￥4,500代",0,-
1987-11-21,PCE,2M,ACT,ハドソン,THE功夫(Vol.1),"￥4,500","￥4,500代",0,-
1987-11-30,PCE,2M,ACT,ハドソン,カトちゃんケンちゃん(Vol.6),"￥4,900","￥5,000代",0,-
1987-12-28,PCE,2M,RAC,ハドソン,ビクトリーラン(Vol.3),"￥4,500","￥4,500代",0,-
1988-01-22,PCE,2M,RPG,ハドソン,邪聖剣ネクロマンサー(Vol.5),"￥4,500","￥4,500代",0,-
1988-02-05,PCE,2M,ACT,ナムコ,妖怪道中記,"￥4,900","￥5,000代",0,-
1988-03-25,PCE,2M,SHT,ハドソン,R-TYPEI(Vol.7),"￥4,900","￥5,000代",0,35
1988-04-22,PCE,2M,ETC,ハドソン,遊々人生(Vol.8),"￥4,500","￥4,500代",0,-
1988-05-20,PCE,2M,SPT,ナムコ,プロ野球ワールドスタジアム,"￥4,900","￥5,000代",0,35
1988-06-03,PCE,2M,SHT,ハドソン,R-TYPEII(Vol.9),"￥4,900","￥5,000代",0,35
1988-07-08,PCE,2M,ETC,ハドソン,戦国麻雀(Vol.10),"￥4,900","￥5,000代",0,-
1988-07-15,PCE,2M,SHT,ナムコ,ギャラガ'88,"￥4,900","￥5,000代",0,-
1988-07-24,PCE,2M,SPT,ハドソン,パワーリーグ(Vol.11),"￥4,900","￥5,000代",0,31
1988-08-11,PCE,2M,SPT,ナムコ,プロテニスワールドコート,"￥4,900","￥5,000代",0,33
1988-08-30,PCE,2M,ACT,ハドソン,魔神英雄伝ワタル(Vol.12),"￥4,900","￥5,000代",0,-
1988-09-14,PCE,2M,ETC,ナグザット,エイリアンクラッシュ,"￥5,500","￥5,500代",0,33
1988-09-23,PCE,2M,SLG,メサイヤ,ガイアの紋章,"￥5,200","￥5,000代",0,-
1988-09-23,PCE,2M,ACT,ビクター音楽産業,魔境伝説(Vol.1),"￥5,200","￥5,000代",0,-
1988-10-14,PCE,2M,SHT,NECアベニュー,ファンタジーゾーン,"￥5,900","￥6,000代",0,-
1988-11-18,PCE,2M,ADV,ハドソン,定吉七番(Vol.14),"￥4,900","￥5,000代",0,-
1988-12-04,PCE,2M,SYS,NEC-HE/ハドソン,CD-ROM2SYSTEMVer1.0,"￥57,300","￥57,500代",0,-
1988-12-04,PCE,2M,SYS,NEC-HE/ハドソン,CD-ROM2SYSTEMVer2.0,"￥57,300","￥57,500代",0,-
1988-12-09,PCE,4M,SHT,NECアベニュー,スペースハリアー,"￥6,700","￥6,500代",0,-
1988-12-16,PCE,2M,SHT,ナムコ,ドラゴンスピリット,"￥5,500","￥5,500代",0,32
1988-12-22,PCE,2M,SPT,ハドソン,あっぱれゲートボール(Vol.13),"￥4,900","￥5,000代",0,-
1989-01-14,PCE,3M,ACT,アイレム,ビジランテ(Vol.1),"￥6,300","￥6,500代",0,30
1989-01-27,PCE,2M,ACT,NECアベニュー,ソンソンII,"￥5,400","￥5,500代",0,-
1989-02-09,PCE,3M,SLG,ハドソン,ネクタリス(Vol.16),"￥5,800","￥6,000代",0,31
1989-02-23,PCE,2M,RAC,メサイヤ,モトローダー,"￥5,200","￥5,000代",0,-
