発売年,ハード,ジャンル,容量(bit),メーカー,タイトル,価格,ジョブカテゴリ,カウント,マッパー
1986-01-01,MSX,SHT,1M,アスキー,1942,"￥5,800","￥6,000代",1,ASCII_8KB
1987-01-01,MSX2,SHT,1M,アスキー,1942,"￥5,980","￥6,000代",1,ASCII_8KB
1986-01-01,MSX,SPT,32K,アイレム,10ヤードファイト,"￥4,900","￥5,000代",1,Mirrored
1980-01-01,MSX,ETC,16K,カシオ,16KB増設RAMカートリッジ,￥,￥0代,1,?
1985-01-01,MSX,ETC,32K,ヤマハ,32KB拡張RAMカートリッジ,"￥9,800","￥10,000代",1,?
1983-01-01,MSX,SLG,16K,T＆E SOFT,3Dゴルフシミュレーション,"￥5,800","￥6,000代",1,Basic(startat0x8000)
1984-01-01,MSX,SLG,16K,T＆E SOFT,3Dゴルフシミュレーション・高速版,"￥5,800","￥6,000代",1,Basic(startat0x8000)
1983-01-01,MSX,SPT,16K,アスキー,3Dテニス,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1980-01-01,不明,-,不明,ＨＡＬ研究所,8つの戦場,￥,￥0代,1,?
1983-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,A.E.(AE),"￥5,800","￥6,000代",1,Mirrored
1980-01-01,MSX2,-,1M,ＨＡＬ研究所,ALTERSSTELA,￥,￥0代,1,?
1989-01-01,MSX2,-,1M,ポニーキャニオン,A列車で行こう,"￥7,800","￥8,000代",1,ASCII_16KB+SRAM
1980-01-01,不明,-,不明,日本エレクトロニクス,BANGBANG(BANG!BANG!),￥,￥0代,1,?
1985-01-01,MSX,-,不明,ハート電子産業,BASICコンパイラ,"￥15,000","￥15,000代",1,?
1984-01-01,MSX,-,32K,カシオ,BASIC入門,"￥5,800","￥6,000代",1,Mirrored
1985-01-01,MSX,-,32K,カシオ,BASIC入門2,"￥5,800","￥6,000代",1,Mirrored
1983-01-01,MSX,-,16K,レイゾン,BEE＆FLOWER,"￥4,800","￥5,000代",1,*0
1985-01-01,MSX,-,不明,コーラル,CAP-XMASTER,"￥9,800","￥10,000代",1,?
1984-01-01,MSX,-,16K,日本エレクトロニクス,CHEESE,￥,￥0代,1,Mirrored
1985-01-01,MSX2,-,32K,日本エレクトロニクス,CHEESE2,"￥6,800","￥7,000代",1,Mirrored
1984-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,D-DAY,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX2,-,1M,日本テレネット,DIRESネットワーク・バージョン,￥,￥0代,1,ASCII_8KB+SRAM
1985-01-01,MSX,-,不明,ヤマハ,DISK日本語ワープロユニット,"￥49,800","￥50,000代",1,?
1987-01-01,MSX,-,16K,アイツー,Dr.COPY電光石火PartII,￥,￥0代,1,Mirrored
1984-01-01,MSX,-,16K,ヤマハ,DX7音色プログラム,"￥7,800","￥8,000代",1,Mirrored
1986-01-01,MSX,-,不明,ヤマハ,DX7音色プログラム2,"￥9,800","￥10,000代",1,Mirrored
1985-01-01,MSX,-,不明,ヤマハ,DX9音色プログラム,"￥7,800","￥8,000代",1,Mirrored
1984-01-01,MSX,-,16K,ソニー,E.I.HBS-G017C,"￥4,000","￥4,000代",1,Mirrored
1988-01-01,MSX2,-,不明,ソニー,EasyTelopper2,"￥39,000","￥39,000代",1,?
1984-01-01,MSX,-,16K,ＨＡＬ研究所,EDDY2,"￥5,600","￥5,500代",1,Mirrored
1987-01-01,MSX2,-,1M,システムソフト,F-15ストライクイーグル,￥,￥0代,1,ASCII_8KB
1985-01-01,MSX,-,16K,NEXA,F16ファイティングファルコン,"￥5,800","￥6,000代",1,Mirrored
1987-01-01,MSX,-,1M,コナミ,F1スピリット,"￥5,800","￥6,000代",1,Konami58KB(SCC)
1985-01-01,MSX,-,32K,ヤマハ,FB-01音色プログラム,￥,￥0代,1,*0
1980-01-01,MSX2,-,1M,サブロジック,FliqhtSimulatorwithTorpedo,￥,￥0代,1,?
1985-01-01,MSX,-,不明,ヤマハ,FMオート・アレンジャー,"￥9,800","￥10,000代",1,?
1986-01-01,MSX,-,不明,ヤマハ,FMオート・アレンジャーUTILITY,"￥9,800","￥10,000代",1,?
1985-01-01,MSX,-,不明,ヤマハ,FMサウンドシンセサイザーユニット,"￥19,800","￥20,000代",1,?
1985-01-01,MSX,-,不明,ヤマハ,FMサウンドシンセサイザーユニット2,"￥29,800","￥30,000代",1,?
