発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント
1996-06-30,2,1,ACT,任天堂,スーパーマリオ64,"￥9,800","￥10,000代",192
1996-06-30,2,1,SLG,任天堂,パイロットウィングス64,"￥9,800","￥10,000代",14
1996-06-30,1,1,TAB,セタ,最強羽生将棋,"￥9,800","￥10,000代",0
1996-09-27,3,1,SPT,任天堂,ウェーブレース64,"￥9,800","￥10,000代",15
1996-11-22,1,1,ADV,エニックス,ワンダープロジェクトJ2コルロの森のジョゼット,"￥9,800","￥10,000代",0
1996-11-29,1,1,SPT,セタ,栄光のセントアンドリュース,"￥9,800","￥10,000代",0
1996-12-14,2,2,RAC,任天堂,マリオカート64,"￥9,800","￥10,000代",224
1996-12-20,1,1,SPT,コナミ,実況Jリーグパーフェクトストライカー,"￥9,800","￥10,000代",11
1996-12-20,1,1,SPT,イマジニア,超空間ナイタープロ野球キング,"￥9,980","￥10,000代",10
1996-12-20,1,1,TAB,コナミ,麻雀MASTERマージャン,"￥9,800","￥10,000代",0
1997-03-14,1,2,SPT,コナミ,実況パワフルプロ野球4,"￥8,900","￥9,000代",18
1997-03-21,2,1,ACT,エポック社,ドラえもんのび太と3つの精霊石,"￥7,980","￥8,000代",0
1997-03-21,3,1,ACT,任天堂,ブラストドーザー,"￥6,800","￥7,000代",0
1997-03-28,1,1,SPT,エレクトロニック・アーツ・ビクター,JリーグLIVE64,"￥9,800","￥10,000代",0
1997-03-28,0,1,SPT,ヒューマン,ヒューマングランプリザ・ニュージェネレーション,"￥9,800","￥10,000代",0
1997-04-04,1,1,TAB,光栄,麻雀64,"￥7,800","￥8,000代",0
1997-04-27,2,2,SHT,任天堂,スターフォックス64,"￥8,700","￥8,500代",57
1997-05-30,1,1,ACT,アクレイムジャパン,時空戦士テュロック,"￥7,800","￥8,000代",0
1997-06-14,2,2,ACT,任天堂,スターウォーズ帝国の影,"￥7,800","￥8,000代",0
1997-06-27,2,1,ACT,エニックス,ゆけゆけ!!トラブルメーカーズ,"￥8,900","￥9,000代",0
1997-07-18,3,1,SPT,任天堂,ウェーブレース64振動パック対応バージョン,"￥6,800","￥7,000代",0
1997-07-18,2,1,ACT,任天堂,スーパーマリオ64振動パック対応バージョン,"￥6,800","￥7,000代",0
1997-07-18,1,2,RAC,イマジニア,マルチレーシングチャンピオンシップ,"￥7,900","￥8,000代",0
1997-07-25,1,1,TAB,ビデオシステム,雀豪シミュレーション麻雀道64,"￥6,980","￥7,000代",0
