発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,ハード・メモリ
1987-10-30,-,2,ACT,ハドソン,ビックリマンワールド(Vol.2),"￥4,500","￥4,500代",0,1
1987-10-30,-,1,PUZ,ハドソン,上海(Vol.4),"￥4,500","￥4,500代",0,1
1987-11-21,-,2,ACT,ハドソン,THE功夫(Vol.1),"￥4,500","￥4,500代",0,1
1987-11-30,-,2,ACT,ハドソン,カトちゃんケンちゃん(Vol.6),"￥4,900","￥5,000代",0,1
1987-12-28,-,2,RAC,ハドソン,ビクトリーラン(Vol.3),"￥4,500","￥4,500代",0,1
1988-01-22,-,2,RPG,ハドソン,邪聖剣ネクロマンサー(Vol.5),"￥4,500","￥4,500代",0,1
1988-02-05,-,2,ACT,ナムコ,妖怪道中記,"￥4,900","￥5,000代",0,1
1988-03-25,35,2,SHT,ハドソン,R-TYPEI(Vol.7),"￥4,900","￥5,000代",0,1
1988-04-22,-,2,ETC,ハドソン,遊々人生(Vol.8),"￥4,500","￥4,500代",0,1
1988-05-20,35,2,SPT,ナムコ,プロ野球ワールドスタジアム,"￥4,900","￥5,000代",0,1
1988-06-03,35,2,SHT,ハドソン,R-TYPEII(Vol.9),"￥4,900","￥5,000代",0,1
1988-07-08,-,2,ETC,ハドソン,戦国麻雀(Vol.10),"￥4,900","￥5,000代",0,1
1988-07-15,-,2,SHT,ナムコ,ギャラガ'88,"￥4,900","￥5,000代",0,1
1988-07-24,31,2,SPT,ハドソン,パワーリーグ(Vol.11),"￥4,900","￥5,000代",0,1
1988-08-11,33,2,SPT,ナムコ,プロテニスワールドコート,"￥4,900","￥5,000代",0,1
1988-08-30,-,2,ACT,ハドソン,魔神英雄伝ワタル(Vol.12),"￥4,900","￥5,000代",0,1
1988-09-14,33,2,ETC,ナグザット,エイリアンクラッシュ,"￥5,500","￥5,500代",0,1
1988-09-23,-,2,SLG,メサイヤ,ガイアの紋章,"￥5,200","￥5,000代",0,1
1988-09-23,-,2,ACT,ビクター音楽産業,魔境伝説(Vol.1),"￥5,200","￥5,000代",0,1
1988-10-14,-,2,SHT,NECアベニュー,ファンタジーゾーン,"￥5,900","￥6,000代",0,1
1988-11-18,-,2,ADV,ハドソン,定吉七番(Vol.14),"￥4,900","￥5,000代",0,1
1988-12-04,-,2,SYS,NEC-HE/ハドソン,CD-ROM2SYSTEMVer1.0,"￥57,300","￥57,500代",0,1
1988-12-04,-,2,SYS,NEC-HE/ハドソン,CD-ROM2SYSTEMVer2.0,"￥57,300","￥57,500代",0,1
1988-12-09,-,4,SHT,NECアベニュー,スペースハリアー,"￥6,700","￥6,500代",0,1
1988-12-16,32,2,SHT,ナムコ,ドラゴンスピリット,"￥5,500","￥5,500代",0,1
1988-12-22,-,2,SPT,ハドソン,あっぱれゲートボール(Vol.13),"￥4,900","￥5,000代",0,1
1989-01-14,30,3,ACT,アイレム,ビジランテ(Vol.1),"￥6,300","￥6,500代",0,1
1989-01-27,-,2,ACT,NECアベニュー,ソンソンII,"￥5,400","￥5,500代",0,1
1989-02-09,31,3,SLG,ハドソン,ネクタリス(Vol.16),"￥5,800","￥6,000代",0,1
1989-02-23,-,2,RAC,メサイヤ,モトローダー,"￥5,200","￥5,000代",0,1
1989-03-01,30,2,SHT,フェイス,はにい･いんざ･すかい,"￥5,200","￥5,000代",0,1
1989-03-03,-,2,SPT,データイースト,ウイニングショット,"￥5,500","￥5,500代",0,1
1989-03-04,-,3,A-PRG,ハドソン,ダンジョンエクスプローラ(Vol.15),"￥5,800","￥6,000代",0,1
1989-03-17,-,2,RPG,サンソフト,アウトライブ,"￥5,600","￥5,500代",0,1
1989-03-18,-,2,ACT,メサイヤ,改造町人シュビビンマン,"￥5,200","￥5,000代",0,1
1989-03-20,-,2,SHT,エイコム,P-47,"￥5,200","￥5,000代",0,1
1989-03-23,-,3,RAC,パックインビデオ,F1PILOT,"￥6,300","￥6,500代",0,1
1989-03-23,-,2,A-PRG,ビクター音楽産業,死霊戦線,"￥5,500","￥5,500代",0,1
1989-03-28,-,2,SPT,メサイヤ,がんばれ!ゴルフボーイズ,"￥5,300","￥5,500代",0,1
1989-03-31,-,2,SHT,パックインビデオ,ディープブルー海底神話,"￥5,300","￥5,500代",0,1
1989-03-31,33,2,SHT,タイトー,究極タイガー,"￥5,500","￥5,500代",0,1
1989-04-01,-,2,RPG,データイースト,魔界八犬伝SHADA,"￥5,800","￥6,000代",0,1
1989-04-19,-,2,ACT,メサイヤ,エナジー,"￥5,200","￥5,000代",0,1
1989-04-21,-,2,ACT,ナムコ,ワンダーモモ,"￥6,800","￥7,000代",0,1
1989-04-27,-,4,RPG,ハドソン,凄ノ王伝説(Vol.17),"￥6,500","￥6,500代",0,1
1989-05-25,-,3,SPT,ハドソン,パワーゴルフ(Vol.18),"￥5,800","￥6,000代",0,1
1989-05-30,-,3,SPT,ナグザット,ナグザットオープン,"￥6,300","￥6,500代",0,1
1989-05-30,-,4,SPT,ナグザット,ナグザットスタジアム,"￥6,300","￥6,500代",0,1
1989-06-01,30,2,ACT,ナムコ,パックランド,"￥5,200","￥5,000代",0,1
1989-06-19,-,3,ETC,ビデオシステム,わいわい麻雀,"￥5,800","￥6,000代",0,1
1989-06-22,-,3,SPT,ヒューマン,ファイヤープロレスリングコンビネーションタッグ,"￥6,300","￥6,500代",0,1
1989-06-23,-,4,ACT,フェイス,サイバークロス,"￥6,300","￥6,500代",0,1
1989-06-28,-,4,ACT,ビッグクラブ,神武伝承,"￥6,700","￥6,500代",0,1
1989-06-30,-,3,ACT,タイトー,ニンジャウォーリアーズ,"￥6,200","￥6,000代",0,1
1989-07-07,30,3,SHT,ハドソン,ガンヘッド(Vol.19),"￥6,200","￥6,000代",0,1
1989-07-07,30,3,RAC,ナムコ,ファイナルラップツイン,"￥6,200","￥6,000代",0,1
1989-07-14,-,2,SHT,NECアベニュー,サイドアーム,"￥5,400","￥5,500代",0,1
1989-07-28,-,2,ACT,エイコム,武田信玄,"￥5,600","￥5,500代",0,1
1989-08-04,-,2,ADV,マイクロキャビン,めぞん一刻,"￥5,900","￥6,000代",0,1
1989-08-08,31,3,SPT,ハドソン,パワーリーグII(Vol.20),"￥5,800","￥6,000代",0,1
1989-08-10,30,2,ETC,ナグザット,ブレイクイン,"￥5,500","￥5,500代",0,1
1989-08-25,-,2,RAC,NECアベニュー,F1ドリーム,"￥5,400","￥5,500代",0,1
1989-08-25,-,4,SHT,ビッグクラブ,ロックオン,"￥6,700","￥6,500代",0,1
1989-09-01,-,4,ACT,データイースト,ならずもの戦闘部隊ブラッディウルフ,"￥6,500","￥6,500代",0,1
1989-09-08,-,4,SHT,ナムコ,オーダイン,"￥6,800","￥7,000代",0,1
1989-09-15,-,3,ETC,ハドソン,スーパー桃太郎電鉄(Vol.21),"￥5,800","￥6,000代",0,1
1989-09-22,-,4,ACT,NECアベニュー,獣王記,"￥5,800","￥6,000代",0,1
1989-09-29,-,2,ETC,NEC-HE,アーティストツール,"￥5,800","￥6,000代",0,1
1989-09-29,-,2,RPG,メサイヤ,ダブルダンジョン,"￥5,500","￥5,500代",0,1
