発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,カウント
1994-12-03,37,"￥6,000代",RCG,ナムコ,リッジレーサー,-,6937,0
1994-12-03,30,"￥8,000代",-,アートディンク,A4A列車で行こう4エヴォリューション,-,6938,0
1994-12-03,-,"￥6,000代",PZL/TBL,サンソフト,麻雀ステーションMAZIN麻神,-,6939,0
1994-12-03,-,"￥7,000代",-,テクノソフト,熱血親子,-,6940,0
1994-12-03,32,"￥6,000代",STG,コナミ,極上パロディウスだ！DELUXEPACK,-,6941,0
1994-12-03,-,-,-,ソニー,クライムクラッカーズ,-,6942,0
1994-12-03,30,-,-,アートディンク,A4A列車で行こう4エヴォリューション発売記念限定セット,-,8442,0
1994-12-03,-,-,PZL/TBL,シャノアール,麻雀悟空天竺,-,8934,0
1994-12-03,-,-,-,タイムワーナーインタラクティブ,タマ,-,10234,0
1994-12-09,-,-,-,コナミ,ツインビー対戦ぱずるだま,-,7361,0
1994-12-09,-,-,-,フォーラム,喜国雅彦印笑う婦警さんパチスロハンター,-,10279,0
1994-12-16,-,-,-,ソニー,モータートゥーン・グランプリ,-,7085,0
1994-12-16,30,-,A-RPG,フロム・ソフトウェア,キングスフィールド,-,8080,0
1994-12-22,-,-,-,アスミック,宝魔ハンターライムスペシャルコレクションVol.1,-,6943,0
1994-12-22,31,"￥6,000代",SPG,コナミ,実況パワフルプロ野球'95,野球,6944,0
1994-12-22,-,-,-,アスキー,柿木将棋,-,8132,0
1994-12-22,-,-,FTG,ポリグラム,ツインゴッデス,-,10178,0
1994-12-22,-,-,-,テクノスジャパン,ジオキューブ,-,10343,0
1995-01-01,30,"￥6,000代",FTG,タカラ,闘神伝,-,7587,0
1995-01-20,-,-,-,ネオレックス,コズミックレース,-,10353,0
1995-01-27,31,"￥6,000代",SHT,ソニー,キリーク・ザ・ブラッド,-,7028,0
1995-01-27,-,-,-,ナムコ,サイバースレッド,-,7208,0
1995-01-27,-,-,-,ソフトバンク,ミスト,-,9691,0
1995-01-27,-,-,-,パンサーソフトウェア,スペースグリフォンVF-9,-,10090,0
1995-01-27,-,-,STG,日本システム,雷電プロジェクト,-,10265,0
1995-02-03,-,-,-,日本一ソフトウェア,ジグソーワールド,-,9719,0
1995-03-24,-,-,-,ソニー,上海万里の長城,-,7106,0
1995-03-24,-,-,-,ソニー,上海万里の長城(マウス同梱版),-,7522,0
1995-03-24,-,-,-,ジャレコ,アイドル雀士スーチーパイリミテッド,-,9257,0
1995-03-31,30,"￥6,000代",SML,ソニー,ヴィクトリーゾーン,-,7022,0
1995-03-31,-,-,-,ナムコ,スターブレードα,-,7209,0
1995-03-31,38,"￥6,000代",FTG,ナムコ,鉄拳,-,7255,0
1995-03-31,-,-,-,アスミック,宇宙生物フロポン君P！,-,8325,0
1995-03-31,-,-,TBL,テクノソフト,球転界,-,9353,0
1995-04-14,-,-,-,ココナッツジャパン,パチ夫くんパチンコランド大冒険,-,9369,0
1995-04-21,-,-,-,セタ,金沢将棋'95,-,9682,0
1995-04-28,34,"￥6,000代",ACT,ソニー,ジャンピングフラッシュ！アロハ男爵ファンキー大作戦の巻,-,6971,0
1995-04-28,-,-,-,ソニー,ガンナーズヘブン,-,7025,0
1995-04-28,-,-,-,アルトロン,ミスランドまちがい探しゲーム,-,8408,0
1995-04-28,-,-,-,エクシング,ぐっすんおよよ,-,8811,0
1995-05-12,-,-,-,翔泳社,エンターテイメント雀荘ザッツ・ポン！,-,9627,0
1995-05-26,-,-,-,アルュメ,悟空伝説マジック・ビースト・ウォリアーズ,-,8414,0
1995-05-26,-,-,-,サンソフト,へべれけスてーショんポポイっと,-,8691,0
1995-05-26,-,-,-,日本物産,ニチブツマージャン女子高名人戦,-,9588,0
1995-06-09,-,-,-,サンソフト,ゲームの達人,-,8680,0
1995-06-16,-,-,-,マップジャパン,ユニバーサル・バーチャパチスロ必勝攻略法,-,9743,0
1995-06-23,-,-,-,バンダイ,機動戦士ガンダム,-,7836,0
1995-06-23,-,-,-,ガスト,ファルカタアストラン・パードマの紋章,-,9573,0
1995-06-23,-,-,-,コピアシステム,競馬最勝の法則'95,-,9792,0
1995-06-30,31,"￥6,000代",SRPG,ソニー,アークザラッド,-,6947,111
1995-06-30,31,"￥6,000代",STG,ナムコ,エースコンバット,-,7198,0
1995-06-30,-,-,SLG,アートディンク,アクアノートの休日,-,8449,0
1995-07-07,-,-,PZL/TBL,アスキー,麻雀巌流島,-,8137,0
1995-07-07,-,-,-,アジェンダ,動画でパズルだ！プップクプー,-,8302,0
1995-07-07,-,-,-,スカイ・シンク・システム,くるりんPA！,-,10220,0
1995-07-14,-,-,SPT,コナミ,実況パワフルプロ野球'95開幕版,野球,7294,0
1995-07-21,-,-,SPT,コナミ,Jリーグ実況ウイニングイレブン,サッカー,7280,0
1995-07-21,35,"￥6,500代",A-RPG,フロム・ソフトウェア,キングスフィールド2,-,8081,0
1995-07-21,-,-,-,ココナッツジャパン,サイバーウォー,-,10330,0
1995-07-28,-,-,-,ソニー,フィロソマ,-,7061,0
1995-07-28,-,-,-,バンダイ,ドラゴンボールZアルティメットバトル22,-,7812,0
1995-07-28,-,-,-,ビング,ナイトストライカー,-,9927,0
1995-08-11,-,-,FTG,カプコン,ストリートファイターリアルバトルオンフィルム,ストリートファイター,7643,0
1995-08-11,-,-,-,カプコン,学校のコワイうわさ花子さんが来た！！,-,7692,0
1995-08-11,-,-,-,エクシング,サザンアイズ吸精公主,-,8812,0
1995-08-11,-,-,-,SPS,グランド・ストローク,-,8842,0
1995-08-25,-,-,-,タイトー,ツァイトガイスト,-,8160,0
1995-08-25,-,-,-,ズーム,ゼロディバイド,-,10317,0
1995-09-08,-,-,-,コナミ,永世名人,-,7436,0
1995-09-08,-,-,-,サンソフト,おーちゃんのお絵かきロジックパズラー監修・本家本元,-,8669,0
1995-09-08,35,"￥6,000代",SPT,ニュー,ボクサーズロード,-,10236,0
1995-09-15,-,-,SLG,コーエー,信長の野望覇王伝,-,7937,0
1995-09-15,-,-,-,アスミック,宝魔ハンターライムSpecialCollectionVol.2,-,8326,0
1995-09-22,-,-,-,トンキンハウス,Vテニス,-,8184,0
1995-09-22,-,-,-,アークシステムワークス,エグゼクター,-,8438,0
1995-09-22,-,-,-,ポニーキャニオン,メタルジャケット,-,9706,0
1995-09-22,-,-,-,ユービーアイソフト,レイマン,-,10125,0
1995-09-29,-,-,-,ソニー,ハーミィホッパーヘッドスクラップパニック,-,7058,0
1995-09-29,-,-,-,ナムコ,プライムゴールEXJリーグサッカー,-,7236,0
1995-09-29,-,-,STG,コナミ,出たなツインビーヤッホー！デラックスパック,-,7456,0
1995-09-29,-,-,-,コーエー,エミットバリューセット,-,7872,0
