発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,メモリ(S-RAM)(Kbit)
1990-11-21,34,2,ACT,任天堂,スーパーマリオワールド,"￥8,000","￥8,000代",355,16
1990-11-21,37,2,RAC,任天堂,F-ZERO,"￥7,000","￥7,000代",90,16
1990-12-01,-,2,PUZ,ケムコ,ボンバザル,"￥6,500","￥6,500代",0,0
1990-12-16,-,4,ACT,エニックス,アクトレイザー,"￥8,000","￥8,000代",40,64
1990-12-16,31,2,SLG,イマジニア,ポピュラス,"￥8,800","￥9,000代",0,64
1990-12-21,-,4,ACT,カプコン,ファイナルファイト,"￥8,500","￥8,500代",0,0
1990-12-21,33,2,SHT,コナミ,グラディウスⅢ,"￥7,800","￥8,000代",0,0
1990-12-21,-,2,SPT,任天堂,パイロットウイングス,"￥8,000","￥8,000代",48,0
1990-12-29,-,3,ACT,バンプレスト,SDザ・グレイトバトル,"￥8,200","￥8,000代",0,0
1991-02-23,-,4,SPT,HAL研究所,ジャンボ尾崎のホールインワン,"￥8,900","￥9,000代",0,0
1991-03-20,-,4,RAC,ジャレコ,BIGRUN,"￥8,700","￥8,500代",0,0
1991-03-29,-,4,SHT,タイトー,ダライアスツイン,"￥8,500","￥8,500代",0,0
1991-04-05,30,4,SPT,T＆Eソフト,遙かなるオーガスタ,"￥9,800","￥10,000代",0,64
1991-04-06,30,2,ACT,バンダイ,ウルトラマン,"￥7,800","￥8,000代",0,0
1991-04-26,33,2,SLG,任天堂,シムシティ,"￥8,000","￥8,000代",90,256
1991-05-17,-,4,SPT,ジャレコ,スーパープロフェッショナルベースボール,"￥8,700","￥8,500代",0,0
1991-05-24,-,4,RPG,ケムコ,ドラッケン,"￥8,500","￥8,500代",0,64
1991-05-28,-,4,RPG,セタ,ガデュリン,"￥8,800","￥9,000代",0,64
1991-06-21,-,4,RPG,トンキンハウス,イースⅢワンダラーズフロムイース,"￥8,800","￥9,000代",0,64
1991-07-02,-,4,SPT,セタ,スーパースタジアム,"￥8,800","￥9,000代",0,64
1991-07-06,-,4,SLG,バンダイ,機動戦士ガンダムF91フォーミュラー戦記0122,"￥9,500","￥9,500代",0,64
1991-07-12,-,2,SPT,カルチャーブレーン,スーパーウルトラベースボール,"￥8,800","￥9,000代",0,64
1991-07-13,-,4,SHT,アイレム,スーパーアールタイプ,"￥8,500","￥8,500代",0,0
1991-07-19,-,4,ACT,コナミ,がんばれゴエモンゆき姫救出絵巻,"￥8,800","￥9,000代",0,0
