発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,ハード・メモリ
1988-10-29,31,3,SHT,セガ,スーパーサンダーブレード,"￥5,800","￥6,000代",0,MD
1988-10-29,30,3,SHT,セガ,スペースハリアーII,"￥5,800","￥6,000代",0,MD
1988-11-27,-,3,ACT,セガ,獣王記,"￥5,800","￥6,000代",0,MD
1988-12-24,-,2,ACT,セガ,おそ松くんはちゃめちゃ劇場,"￥5,500","￥5,500代",0,MD
1989-02-10,-,2,ACT,セガ,アレックスキッド天空魔城,"￥5,500","￥5,500代",0,MD
1989-03-21,-,5,RPG,セガ,ファンタシースターII還らざる時の終わりに,"￥8,000","￥8,000代",11,MD
1989-04-22,-,3,SPT,セガ,スーパーリーグ,"￥5,800","￥6,000代",0,MD
1989-04-29,31,3,SLG,セガ,スーパー大戦略,"￥6,800","￥7,000代",0,MD
1989-06-15,-,3,SHT,テクノソフト,サンダーフォースIIMD,"￥6,800","￥7,000代",0,MD
1989-07-01,-,3,ACT,セガ,北斗の拳新世紀末救世主伝説,"￥6,000","￥6,000代",0,MD
1989-07-29,-,2,SPT,セガ,ワールドカップサッカー,"￥5,500","￥5,500代",0,MD
1989-08-03,31,4,ACT,セガ,大魔界村,"￥6,800","￥7,000代",8,MD
1989-09-09,-,3,SPT,セガ,尾崎直道のスーパーマスターズ,"￥6,000","￥6,000代",0,MD
1989-10-06,-,3,RPG,アスミック,スーパーハイドライド,"￥7,900","￥8,000代",0,MD
1989-10-06,-,3,RAC,セガ,スーパーハングオン,"￥6,000","￥6,000代",0,MD
1989-10-21,-,2,ACT,セガ,ランボーIII,"￥5,500","￥5,500代",0,MD
1989-11-18,-,3,SHT,セガ,フォゴットンワールズ,"￥6,000","￥6,000代",0,MD
1989-11-25,-,3,ACT,セガ,孔雀王2幻影城,"￥6,000","￥6,000代",0,MD
1989-12-02,-,3,ACT,セガ,ザ・スーパー忍,"￥6,000","￥6,000代",0,MD
1989-12-09,-,3,SHT,セガ,TATSUJIN,"￥6,000","￥6,000代",0,MD
1989-12-14,-,2,TAB,セガ,マージャンCOP竜白狼の野望,"￥5,500","￥5,500代",0,MD
1989-12-15,-,3,SLG,テクノソフト,ヘルツォーク・ツヴァイ,"￥6,800","￥7,000代",0,MD
1989-12-16,-,4,RPG,セガ,ヴァーミリオン,"￥8,500","￥8,500代",0,MD
1989-12-23,-,3,SHT,マイクロネット,カース,"￥6,800","￥7,000代",0,MD
1989-12-23,31,3,ACT,セガ,ゴールデンアックス,"￥6,000","￥6,000代",8,MD
1990-01-01,-,3,ETC,セガ,メガアンサー,"￥34,000","￥34,000代",0,MD
1990-01-13,-,2,PUZ,セガ,ズーム,"￥5,500","￥5,500代",0,MD
1990-01-30,-,2,PUZ,メサイヤ,史上最大の倉庫番,"￥5,200","￥5,000代",0,MD
1990-02-24,-,3,RPG,セガ,ソーサリアン,"￥7,000","￥7,000代",0,MD
1990-03-02,-,3,SPT,セガ,スーパーリアルバスケットボール,"￥6,000","￥6,000代",0,MD
1990-03-03,-,3,ACT,タイトー,ザ・ニュージーランドストーリー,"￥6,800","￥7,000代",0,MD
1990-03-09,-,3,SHT,アスミック,エアダイバー,"￥6,800","￥7,000代",0,MD
1990-03-16,-,3,SHT,メサイヤ,重装機兵レイノス,"￥6,200","￥6,000代",0,MD
1990-03-23,-,3,SHT,電波新聞社,アフターバーナーII,"￥6,900","￥7,000代",0,MD
1990-03-23,-,3,SPT,タイトー,ファイナルブロー,"￥6,800","￥7,000代",0,MD
1990-04-07,-,3,SHT,セガ,ダーウィン4081,"￥6,000","￥6,000代",0,MD
1990-04-21,-,5,RPG,セガ,時の継承者ファンタシースターIII,"￥8,700","￥8,500代",0,MD
1990-04-27,-,4,ADV,シグマ商事,サイオブレード,"￥8,500","￥8,500代",0,MD
1990-05-19,-,3,ACT,セガ,DJボーイ,"￥6,000","￥6,000代",0,MD
1990-05-26,-,3,SHT,セガ,ウィップラッシュ惑星ボルテガスの謎,"￥6,000","￥6,000代",0,MD
1990-06-08,-,2,TAB,サンソフト,TEL・TELまあじゃん,"￥5,800","￥6,000代",0,MD
1990-06-08,31,3,SHT,テクノソフト,サンダーフォースIII,"￥6,800","￥7,000代",0,MD
1990-06-23,30,3,SHT,セガ,大旋風,"￥6,000","￥6,000代",0,MD
1990-06-30,-,3,ACT,セガ,ゴーストバスターズ,"￥6,000","￥6,000代",0,MD
1990-06-30,-,1,PUZ,セガ,コラムス,"￥5,500","￥5,500代",13,MD
1990-07-14,-,3,ACT,セガ,ESWAT,"￥6,000","￥6,000代",0,MD
1990-07-20,-,3,SHT,ナムコ,フェリオス,"￥5,800","￥6,000代",0,MD
1990-07-27,-,3,ACT,サンソフト,バットマン,"￥6,500","￥6,500代",0,MD
1990-07-28,-,3,SPT,セガ,サイバーボール,"￥6,000","￥6,000代",0,MD
1990-08-09,34,3,RAC,セガ,スーパーモナコGP,"￥6,000","￥6,000代",6,MD
1990-08-10,-,3,ACT,タイトー,ラスタンサーガII,"￥6,800","￥7,000代",0,MD
1990-08-10,-,3,ACT,シグマ商事,四天明王,"￥6,200","￥6,000代",0,MD
1990-08-25,-,3,ACT,セガ,マイケルジャクソンズムーンウォーカー,"￥6,000","￥6,000代",10,MD
1990-08-26,-,3,SHT,ユニパック,XDR,"￥6,800","￥7,000代",0,MD
1990-09-07,-,3,SHT,ホット・ビィ,インセクターX,"￥6,800","￥7,000代",0,MD
1990-09-07,-,2,PUZ,ナムコ,クラックス,"￥4,900","￥5,000代",0,MD
1990-09-07,-,2,SHT,タイトー,スペースインベーダー90,"￥5,900","￥6,000代",0,MD
1990-09-28,-,3,SHT,メサイヤ,ヘルファイアー,"￥6,800","￥7,000代",0,MD
1990-09-29,-,6,ACT,セガ,ストライダー飛竜,"￥7,000","￥7,000代",0,MD
