発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,カウント
1994-11-22,36,"￥7,000代",FTG,セガ,バーチャファイター,-,98,0
1994-11-22,-,"￥8,000代",-,セガ,ワンチャイコネクション,-,1293,0
1994-11-22,-,"￥8,000代",-,サンソフト,ミスト,-,1294,0
1994-11-22,-,"￥6,000代",-,タイムワーナーインタラクティブ,TAMA,-,99,0
1994-11-22,-,-,-,エレクトロニック・アーツ,麻雀悟空天竺,-,1553,0
1994-12-02,-,-,-,セガ,ゲイルレーサー,-,1042,0
1994-12-02,30,-,ADV,セガ,真説・夢見館扉の奥に誰かが…,-,1295,0
1994-12-09,-,-,-,セガ,クロックワークナイトペパルーチョの大冒険・上巻,-,100,0
1995-01-20,31,-,SPT,セガ,ビクトリーゴール,-,1077,0
1995-01-27,-,-,-,セガ,ゴータイスマイリア戦役,-,1143,0
1995-02-24,-,-,-,セガ,ペブルビーチゴルフリンクススタドラーに挑戦!,-,1078,0
1995-02-24,-,-,-,セガ,ランポRAMPO,-,1296,0
1995-02-24,-,-,-,ジャレコ,アイドル雀士スーチーパイスペシャル,-,1554,0
1995-02-24,-,-,-,サンソフト,上海万里の長城,-,1601,0
1995-03-03,-,-,-,サンソフト,ポポイっとへべれけ,-,1602,0
1995-03-10,30,-,SHT,セガ,パンツァードラグーン,-,101,0
1995-03-10,-,-,-,アスキー,麻雀巌流島,-,1555,0
1995-03-24,-,-,-,セガ,ダイダロス,-,1431,0
1995-03-25,-,-,-,コーエー,エミットVol.1時の迷子,-,1297,0
1995-03-31,-,-,-,データイースト,サイドポケット2伝説のハスラー,-,1603,0
1995-04-01,-,-,-,コーエー,エミットVol.2命がけの旅,-,1298,0
1995-04-01,-,-,-,コーエー,エミットVol.3私にさよならを,-,1299,0
1995-04-01,30,-,RAC,セガ,デイトナUSA,-,1043,0
1995-04-14,-,-,-,アスキー,柿木将棋,-,1540,0
1995-04-28,-,-,-,セガ,アイルトン・セナパーソナルトークMessageforthefuture,-,1604,0
1995-04-28,-,-,-,セガ,ヴァーチャルハイドライド,-,8,0
1995-04-28,-,-,-,セガ,輝水晶伝説アスタル,-,102,0
1995-04-28,-,-,-,コーエー,三國志4,-,1144,0
1995-05-19,31,-,SHT,コナミ,極上パロディウスだ!DELUXEPACK,-,1432,0
1995-05-26,-,-,-,セガ,完全中継プロ野球グレイテストナイン,-,1079,0
1995-05-26,-,-,-,セガ,グランチェイサー,-,103,0
1995-05-26,30,-,TBL,セタ,スーパーリアル麻雀P5,-,1556,0
1995-06-02,-,-,-,ナグザット,バトルモンスターズ,-,104,0
1995-06-09,-,-,-,サンソフト,ゲームの達人,-,1605,0
1995-06-16,-,-,-,イマジニア,制服伝説プリティ・ファイターX,-,105,0
1995-06-23,-,-,-,カゼ,デジタルピンボールラストグラディエーターズ,-,1606,0
1995-06-23,-,-,-,セガ,ブルーシード奇稲田秘録伝,-,9,0
1995-06-30,-,-,-,セガ,新・忍伝,-,106,0
1995-07-07,-,-,-,ギャガ,ダークシード,-,1300,0
1995-07-07,-,-,-,ゼネラル・エンタテイメント,平成天才バカボンすすめ!バカボンズ,-,1607,0
1995-07-14,35,-,FTG,セガ,バーチャファイターリミックス,-,881,0
1995-07-14,-,-,-,セガ,学校の怪談,-,1301,0
1995-07-21,-,-,-,イマジニア,バーチャルバレーボール,-,1080,0
1995-07-21,31,-,RPG,セガ,リグロードサーガ,-,10,0
1995-07-21,-,-,-,テクノソフト,熱血親子,-,882,0
1995-07-28,32,-,ADV,アクレイムジャパン,Dの食卓,-,1302,0
1995-07-28,-,-,-,ソシエッタ代官山,THE野球拳スペシャル今夜は12回戦!!,-,1608,0
1995-07-28,32,-,ACT,セガ,クロックワークナイトペパルーチョの大冒険・下巻,-,883,0
1995-07-28,-,-,-,ゲームアーツ,ゆみみみっくすREMIX,-,1303,0
1995-07-28,31,-,SPT,コナミ,実況パワフルプロ野球'95開幕版,-,1081,111
1995-08-04,-,-,-,タイムワーナーインタラクティブ,レースドライビン,-,1044,0
1995-08-04,-,-,-,マイクロネット,麻雀海岸物語麻雀狂時代セクシーアイドル編,-,1557,0
1995-08-11,-,-,-,アスク講談社,アイドル麻雀ファイナルロマンス2,-,1558,0
1995-08-11,-,-,-,コーエー,ウイニングポストEX,-,1145,0
1995-08-11,32,-,RPG,セガ,シャイニング・ウィズダム,-,12,0
1995-08-11,-,-,-,カプコン,ストリートファイターリアルバトルオンフィルム,-,884,0
1995-08-11,-,-,-,カプコン,学校のコワイうわさ花子さんがきた!!,-,1304,0
1995-08-11,-,-,-,バンダイ,テレビアニメスラムダンクアイラブバスケットボール,-,1082,0
1995-08-11,-,-,-,データイースト,水滸演武,-,885,0
1995-08-11,-,-,-,リバーヒルソフト,卒業2ネオジュネレーション,-,1146,0
1995-08-25,-,-,-,サムシンググッド,AI将棋,-,1541,0
1995-08-25,-,-,-,ヒューマン,ファイプロ外伝ブレイジングトルネード,-,886,0
1995-08-25,-,-,-,テクノソフト,球転界,-,1609,0
1995-08-25,-,-,-,セガ,魔法騎士レイアース,-,13,0
1995-09-01,-,-,-,イマジニア,実戦麻雀,-,1559,0
1995-09-14,32,-,SHT,タイトー,レイヤーセクション,-,1433,0
1995-09-15,-,-,-,セタ,将棋まつり,-,1542,0
1995-09-22,-,-,-,翔泳社,ブレイクスルー,-,1610,0
1995-09-22,-,-,-,リバーヒルソフト,ブルー・シカゴ・ブルース,-,1305,0
1995-09-22,-,-,-,T&Eソフト,マスターズ遙かなるオーガスタ3,-,1083,0
1995-09-22,33,-,SLG,セガ,ワールドアドバンスド大戦略鋼鉄の戦風,-,1147,0
1995-09-29,30,-,ADV,ギャガ,クァンタムゲート1悪夢の序章,-,1306,0
1995-09-29,-,-,-,ジャレコ,アイドル雀士スーチーパイリミックス,-,1560,0
1995-09-29,-,-,-,セガ,ウイングアームズ華麗なる撃墜王,-,1434,0
1995-09-29,-,-,-,セガ,ゴールデンアックス・ザ・デュエル,-,887,0
1995-09-29,-,-,-,セガ,シムシティ2000,-,1148,0
1995-09-29,-,-,-,タカラ,スチームギアマッシュ,-,888,0
1995-09-29,-,-,-,ビクター,メタルファイターMIKU,-,1307,0
1995-09-29,-,-,-,コナミ,永世名人,-,1543,0
1995-09-29,-,-,-,コナミ,出たなツインビーヤッホー!デラックスパック,-,1355,0
1995-09-29,-,-,-,コーエー,信長の野望天翔記,-,1149,0
1995-09-29,-,-,-,ユーメディア,天地無用!魎皇鬼ごくらくCD-ROMforSEGASATURN,-,1611,0
1995-09-29,-,-,-,アスミック,宝魔ハンターライムパーフェクトコレクション,-,1308,0
1995-09-29,-,-,-,イマジニア,魔法の雀士ぽえぽえポエミィ,-,1561,0
1995-10-13,-,-,-,サンソフト,ゲームの鉄人THE上海,-,1612,0
1995-10-13,-,-,-,セガ,バーチャファイターCGポートレートシリーズVol.1サラ・ブライアント,-,1613,0
1995-10-13,-,-,-,セガ,バーチャファイターCGポートレートシリーズVol.2ジャッキー・ブライアント,-,1614,0
1995-10-20,-,-,-,セガ,XJAPANVirtualShock001,-,1623,0
1995-10-20,-,-,-,ビクター,キング・オブ・ボクシング,-,889,0
1995-10-20,-,-,-,エクゼコ・デベロップンメント,サンダーストーム＆ロードブラスター,-,890,0
1995-10-20,-,-,-,ソネット,ときめき麻雀パラダイス恋のてんぱいビート,-,1562,0
1995-10-27,-,-,-,CRI,占都物語その1,-,1624,0
1995-10-27,-,-,-,ギャガ,サイコトロン,-,1309,0
1995-10-27,-,-,-,ビクター,アメリカ横断ウルトラクイズ,-,1625,0
1995-10-27,32,-,SPT,セガ,セガインターナショナルビクトリーゴール,-,1084,0
1995-10-27,-,-,-,イマジニア,バーチャルオープンテニス,-,1085,0
1995-10-27,-,-,-,セガ,ハングオンGP'95,-,1045,0
1995-10-27,-,-,-,コンパイル,ぷよぷよ通,-,1626,0
1995-10-27,-,-,-,マイクロキャビン,プリンセスメーカー2,-,1150,0
1995-10-27,-,-,-,小学館プロダクション,結婚Marriage前夜,-,1627,0
1995-11-02,30,-,RAC,セガ,F-1ライブインフォメーション,-,1824,0
1995-11-03,-,-,-,アルトロン,ただいま惑星開拓中!,-,1151,0
1995-11-10,-,-,-,セガ,ばくばくアニマル世界飼育係選手権,-,1628,0
1995-11-10,-,-,-,アトラス,峠キング・ザ・スピリッツ,-,1825,0
1995-11-17,-,-,-,ユービーアイソフト,レイマン,-,1826,0
1995-11-17,-,-,-,サンソフト,おーちゃんのお絵かきロジック,-,1629,0
1995-11-17,-,-,-,バンダイ,ドラゴンボールZ真武闘伝,-,1827,0
1995-11-17,-,-,-,エレクトロニック・アーツ,戦略将棋,-,1544,0
1995-11-17,-,-,-,セガ,野茂英雄ワールドシリーズベースボール,-,1086,0
1995-11-17,-,-,-,セガ,バーチャファイターCGポートレートシリーズVol.3結城晶,-,1615,0
1995-11-17,-,-,-,セガ,バーチャファイターCGポートレートシリーズVol.4パイ・チェン,-,1616,0
1995-11-22,-,-,-,カプコン,エックスメンチルドレンオブジアトム,-,891,0
1995-11-22,-,-,-,BMGビクター,オフワールド・インターセプターエクストリーム,-,1435,0
1995-11-22,-,-,-,サンソフト,ギャラクシーファイトユニバーサル・ウォーリアーズ,-,892,0
1995-11-22,-,-,-,エコール,ぱっぱらぱおーん,-,1630,0
1995-11-22,-,-,-,ジャレコ,燃えろ!!プロ野球'95ダブルヘッダー,-,1087,0
1995-11-24,-,-,-,メディアエンターテイメント,シュトラール秘められし七つの光,-,893,0
1995-11-24,-,-,-,セタ,スーパーリアル麻雀グラフィティ,-,1563,0
1995-11-24,32,-,SHT,セガ,バーチャコップ,-,1436,0
1995-11-24,-,-,-,セタ,金沢将棋,-,1545,0
1995-11-24,-,-,-,タカラ,闘神伝S,-,894,0
1995-12-01,-,-,-,アクレイムジャパン,NBAジャムトーナメントエディション,-,1088,0
1995-12-01,39,-,FTG,セガ,バーチャファイター2,-,895,0
1995-12-01,-,-,-,吉本興業,爆笑!!オール吉本クイズ王決定戦DX,-,1631,0
1995-12-08,30,-,ACT,セガ,バグ!ジャンプして、ふんづけちゃって、ぺっちゃんこ,-,896,0
1995-12-08,-,-,-,タイトー,ハットトリックヒーローS,-,1089,0
1995-12-08,-,-,-,ギャガ,ファーザー・クリスマス,-,1310,0
1995-12-08,-,-,-,やのまん,日灼けの想い出+姫くりGIRLSINMOTIONPUZZLEVOL.1,-,1632,0
