発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,売り上げ本数TOP50,ハード,対応
2006-12-02,-,-,-,任天堂,はじめてのWiiパック (Wiiリモコン同梱),-,10552,290,Wii,-
2006-12-02,38,"￥7,000代",ACT,任天堂,ゼルダの伝説トワイライトプリンセス,-,10553,55,Wii,-
2006-12-02,34,"￥6,000代",ACT,任天堂,おどるメイドインワリオ,-,10558,66,Wii,-
2006-12-02,31,"￥6,000代",-,セガ,スーパーモンキーボールウキウキパーティー大集合,-,10638,0,Wii,-
2006-12-02,-,-,-,バンダイナムコ,たまごっちのピカピカだいとーりょー！,-,10693,0,Wii,-
2006-12-02,33,"￥6,000代",ACT,バンダイナムコ,SDガンダムスカッドハンマーズ,-,10694,0,Wii,-
2006-12-02,-,-,-,バンダイナムコ,縁日の達人,-,10695,0,Wii,-
2006-12-02,-,-,-,ハドソン,ウィングアイランド,-,10782,0,Wii,-
2006-12-02,-,-,-,ハドソン,コロリンパ,-,10791,0,Wii,-
2006-12-02,32,"￥6,000代",ACT,コナミ,エレビッツ,-,10820,0,Wii,-
2006-12-02,34,"￥7,000代",ACT,ユービーアイソフト,レッドスティール,-,10972,0,Wii,-
2006-12-02,-,-,-,スパイク,ネクロネシア,-,11056,0,Wii,-
2006-12-02,-,-,-,テクモ,スイングゴルフパンヤ,-,11074,0,Wii,-
2006-12-02,32,"￥6,000代",ACT,アトラス,カドゥケウスZ2つの超執刀,-,11086,0,Wii,-
2006-12-02,-,-,-,バンソフト,クレヨンしんちゃん最強家族カスカベキングうぃー,-,11115,0,Wii,-
2006-12-02,30,"￥5,000代",SPT,任天堂,Wiiスポーツ,-,10551,379,Wii,-
2006-12-14,35,"￥6,000代",RPG,任天堂,ポケモンバトルレボリューション(ニンテンドーDS対応),-,10559,35,Wii,-
2006-12-14,-,-,-,セガ,ブリーチWii白刃きらめく輪舞曲,-,10639,0,Wii,-
2006-12-14,30,"￥6,000代",ACT,ユービーアイソフト,ラビッツ・パーティー,-,10976,0,Wii,-
2006-12-21,-,-,-,エレクトロニック・アーツ,ニード・フォー・スピードカーボン,-,10928,0,Wii,-
2006-12-21,-,-,-,ユービーアイソフト,モンスター4×4ワールドサーキット,-,10971,0,Wii,-
2007-01-01,-,-,-,バンダイナムコ,ドラゴンボールZスパーキング！ネオ,-,10696,0,Wii,-
2007-01-11,-,-,-,MTO,GTプロシリーズ(ステアリングアタッチメント同梱),-,11099,0,Wii,-
2007-01-18,31,"￥6,000代",ACT,任天堂,エキサイトトラック,-,10560,0,Wii,-
2007-01-25,-,-,-,コーエー,麻雀大会Wii,-,10904,0,Wii,-
2007-02-08,-,-,-,タイトー,クッキングママみんなといっしょにお料理大会！,-,11067,0,Wii,-
2007-02-22,33,"￥7,000代",SRPG,任天堂,ファイアーエムブレム暁の女神,-,10554,0,Wii,-
2007-02-22,-,-,-,タカラトミー,ナルト疾風伝激闘忍者大戦！EX,-,10951,0,Wii,-
2007-03-01,-,-,-,タイトー,電車でGO！新幹線EX山陽新幹線編,-,11071,0,Wii,-
2007-03-01,-,-,-,タイトー,はじめての電車でGO！セット(電車でGO！新幹線EX山陽新幹線編・専用コントローラー同梱パック),-,11072,0,Wii,-
2007-03-08,-,-,-,任天堂,アイシールド21フィールド最強の戦士たち,-,10561,0,Wii,-
2007-03-08,-,-,-,ハドソン,ボンバーマンランドWii,-,10801,0,Wii,-
2007-03-15,32,"￥7,000代",ACT,セガ,ソニックと秘密のリング,-,10640,0,Wii,-
2007-03-15,31,"￥6,000代",ACT,コーエー,ジーワンジョッキーWii,-,10892,0,Wii,-
2007-03-15,-,-,-,THQジャパン,スポンジ・ボブ,-,11034,0,Wii,-
2007-03-21,-,-,-,ハドソン,SUDOKU数独(パズルシリーズVol.1),-,10781,0,Wii,-
2007-03-21,-,-,-,コーエー,三國志11withパワーアップキット,-,10893,0,Wii,-
