日付,🔖性別,年齢,🔖好きな季節,🔖居住タイプ,🔖教育レベル,🔖好みのアクティビティ,未使用,カウント,山までの距離(マイル),ビーチまでの距離(マイル),旅行頻度,年収($),休暇予算($),🔖ペット,🔖環境への懸念
2024-09-01,1,56,summer,urban,bachelor,skiing,0,1,175,267,9,71477,2477,0,1
2024-09-01,1,69,fall,suburban,master,swimming,0,1,228,190,1,88740,4777,0,1
2024-09-01,2,46,winter,urban,master,skiing,0,1,71,280,0,46562,1469,0,0
2024-09-01,0,32,summer,rural,high school,hiking,0,1,31,255,6,99044,1482,1,0
2024-09-01,2,60,winter,suburban,high school,sunbathing,0,1,23,151,5,106583,516,1,1
2024-09-01,1,25,fall,urban,doctorate,sunbathing,0,1,6,47,3,110588,2895,0,1
2024-09-01,1,38,fall,rural,bachelor,swimming,0,1,157,225,1,22245,4994,0,1
2024-09-01,0,56,winter,urban,bachelor,sunbathing,0,1,210,166,8,109411,3656,1,0
2024-09-01,1,36,summer,suburban,master,swimming,0,1,218,263,6,22531,2408,1,1
2024-09-01,0,40,summer,rural,high school,swimming,0,1,271,15,1,90840,4044,1,1
2024-09-01,2,28,spring,suburban,master,skiing,0,1,159,51,4,42036,3495,0,1
2024-09-01,0,28,winter,urban,high school,skiing,0,1,33,21,3,97902,1747,1,0
2024-09-01,2,41,summer,suburban,bachelor,hiking,0,1,130,254,7,52794,1591,1,1
2024-09-01,2,53,fall,rural,bachelor,sunbathing,0,1,211,148,9,93042,2221,0,1
2024-09-01,1,57,fall,suburban,high school,hiking,0,1,36,258,3,65802,2607,0,0
2024-09-01,2,41,fall,urban,master,skiing,0,1,77,209,2,99810,2830,1,1
2024-09-01,1,20,winter,rural,bachelor,sunbathing,0,1,280,211,7,112635,675,0,0
2024-09-01,0,39,summer,rural,doctorate,hiking,0,1,253,50,4,52469,4979,0,1
2024-09-01,0,19,fall,rural,bachelor,sunbathing,0,1,162,293,5,69522,4028,0,0
2024-09-01,2,41,summer,urban,doctorate,hiking,0,1,207,162,1,46992,803,0,0
2024-09-01,0,61,fall,urban,high school,hiking,0,1,296,169,5,107749,4140,0,1
2024-09-01,2,47,spring,suburban,master,skiing,0,1,298,41,7,97814,3818,1,1
2024-09-01,0,55,fall,suburban,high school,skiing,0,1,263,241,1,52222,635,1,1
2024-09-01,2,19,winter,rural,bachelor,swimming,0,1,164,1,1,82148,862,0,1
2024-09-01,2,38,spring,urban,master,skiing,0,1,234,54,4,112172,3424,1,0
2024-09-01,0,50,summer,urban,master,skiing,0,1,243,161,3,43152,3923,1,1
2024-09-01,0,29,spring,rural,high school,sunbathing,0,1,48,185,3,98433,1823,1,0
2024-09-01,0,39,summer,suburban,high school,skiing,0,1,220,230,4,46417,2850,0,1
2024-09-01,0,61,summer,rural,bachelor,swimming,0,1,256,291,6,29865,3940,0,1
2024-09-01,2,42,spring,rural,doctorate,swimming,0,1,201,24,1,83719,948,1,0
2024-09-01,2,66,spring,suburban,high school,hiking,0,1,165,294,2,46795,4703,1,0
2024-09-01,0,44,fall,suburban,master,sunbathing,0,1,30,125,3,92148,2510,1,0
2024-09-01,0,59,summer,rural,doctorate,hiking,0,1,209,90,5,34116,1714,1,0
2024-09-01,1,45,spring,suburban,high school,skiing,0,1,46,124,3,58179,4382,0,0
2024-09-01,2,33,spring,rural,high school,skiing,0,1,118,296,9,73175,2385,1,0
2024-09-01,2,32,fall,urban,high school,sunbathing,0,1,107,91,4,21627,3849,1,0
2024-09-01,0,64,summer,rural,doctorate,swimming,0,1,288,27,7,97004,2581,0,1
2024-09-01,1,68,winter,rural,high school,hiking,0,1,51,149,0,65603,3216,0,1
2024-09-01,0,61,fall,suburban,bachelor,skiing,0,1,93,105,2,93856,2754,1,1
2024-09-01,2,69,summer,suburban,high school,swimming,0,1,260,181,7,109258,3623,0,0
2024-09-01,2,20,winter,suburban,master,swimming,0,1,212,15,4,31144,3453,0,0
2024-09-01,1,54,spring,suburban,high school,swimming,0,1,246,221,8,114704,2611,1,1
2024-09-01,0,68,summer,suburban,master,hiking,0,1,274,134,6,32243,2713,1,0
2024-09-01,1,24,spring,suburban,doctorate,swimming,0,1,207,168,8,30602,1998,0,1
2024-09-01,0,38,summer,suburban,high school,skiing,0,1,77,8,9,43401,3701,0,0
2024-09-01,1,26,spring,urban,high school,swimming,0,1,250,173,0,68080,4571,1,1
2024-09-01,0,56,winter,rural,doctorate,swimming,0,1,231,250,6,97682,553,1,1
2024-09-01,0,35,winter,suburban,bachelor,hiking,0,1,123,184,7,98367,1641,0,1
2024-09-01,0,21,summer,urban,doctorate,hiking,0,1,49,167,0,98203,3244,0,1
2024-09-01,2,42,summer,suburban,doctorate,swimming,0,1,266,270,0,119298,3895,0,0
2024-09-01,0,31,winter,urban,master,sunbathing,0,1,164,133,9,21605,2564,0,0
2024-09-01,2,67,spring,suburban,high school,sunbathing,0,1,160,263,7,37721,558,1,1
2024-09-01,1,26,summer,suburban,high school,sunbathing,0,1,84,17,5,41939,4235,1,1
2024-09-01,0,43,spring,urban,master,hiking,0,1,25,18,6,28389,2718,0,0
2024-09-01,2,19,fall,rural,master,sunbathing,0,1,197,248,3,86904,1670,1,1
2024-09-01,1,37,fall,urban,high school,skiing,0,1,241,47,9,87867,2921,0,1
2024-09-01,0,45,spring,rural,bachelor,sunbathing,0,1,264,138,4,48902,2556,1,1
2024-09-01,1,64,summer,rural,bachelor,swimming,0,1,243,227,4,99552,3229,0,0
2024-09-01,2,24,spring,suburban,master,swimming,0,1,13,177,8,63471,3540,0,1
2024-09-01,2,61,fall,suburban,high school,skiing,0,1,31,285,2,111027,3359,0,1
2024-09-01,0,25,summer,suburban,bachelor,hiking,0,1,51,24,0,83063,2382,0,0
2024-09-01,2,64,fall,suburban,bachelor,hiking,0,1,64,202,1,27118,3319,1,1
2024-09-01,2,52,winter,suburban,high school,hiking,0,1,166,121,9,108178,2349,1,0
2024-09-01,1,31,winter,suburban,doctorate,hiking,0,1,93,292,1,23721,3276,0,1
2024-09-01,0,34,summer,suburban,doctorate,sunbathing,0,1,261,262,9,87005,4675,0,1
2024-09-01,0,53,winter,urban,bachelor,swimming,0,1,13,221,5,26436,1065,1,1
2024-09-01,0,67,winter,rural,doctorate,swimming,0,1,250,170,7,118018,4280,1,1
2024-09-01,1,57,spring,suburban,doctorate,swimming,0,1,279,73,9,30043,1209,0,1
2024-09-01,2,21,fall,urban,bachelor,swimming,0,1,278,219,6,33914,4581,1,1
2024-09-01,0,19,summer,rural,high school,swimming,0,1,98,167,0,95101,1672,1,0
2024-09-01,0,23,winter,rural,high school,hiking,0,1,20,105,7,53090,1963,0,0
2024-09-01,1,59,spring,rural,bachelor,skiing,0,1,105,164,6,105171,1737,1,0
2024-09-01,1,21,summer,urban,bachelor,swimming,0,1,195,171,1,73615,2766,1,1
2024-09-01,0,46,spring,suburban,master,hiking,0,1,277,207,9,46301,2288,1,1
2024-09-01,0,35,fall,urban,doctorate,skiing,0,1,26,66,5,116651,826,0,0
2024-09-01,1,43,summer,urban,bachelor,skiing,0,1,258,76,6,45329,3518,1,1
2024-09-01,1,61,winter,suburban,doctorate,hiking,0,1,79,180,5,110652,2480,1,1
2024-09-01,1,51,fall,rural,bachelor,hiking,0,1,283,216,0,26429,2704,1,0
2024-09-01,1,27,summer,suburban,doctorate,skiing,0,1,38,132,8,107701,1759,0,0
2024-09-01,2,53,spring,suburban,high school,hiking,0,1,77,69,2,50032,1939,1,1
2024-09-01,2,31,spring,suburban,high school,skiing,0,1,242,90,4,73556,3985,0,0
2024-09-01,0,48,spring,rural,bachelor,sunbathing,0,1,117,105,7,46842,3205,0,1
2024-09-01,2,65,winter,urban,doctorate,swimming,0,1,136,99,1,22837,4769,0,1
2024-09-01,1,32,fall,urban,bachelor,swimming,0,1,298,258,3,106832,2362,0,0
2024-09-01,0,25,summer,urban,doctorate,hiking,0,1,192,151,4,27088,1396,1,0
2024-09-01,1,31,fall,rural,bachelor,skiing,0,1,106,70,8,28582,4858,1,0
2024-09-01,2,40,spring,urban,bachelor,skiing,0,1,261,205,1,71245,4552,1,0
2024-09-01,1,57,spring,rural,master,hiking,0,1,109,210,5,75306,1813,1,1
2024-09-01,0,38,winter,urban,master,swimming,0,1,215,182,6,22063,3175,1,0
2024-09-01,2,33,summer,rural,master,swimming,0,1,68,96,9,27349,3477,0,0
2024-09-01,0,62,fall,urban,master,sunbathing,0,1,54,115,1,111832,2519,1,0
2024-09-01,2,35,winter,urban,master,swimming,0,1,61,194,9,110659,780,0,0
2024-09-01,1,64,summer,urban,master,sunbathing,0,1,240,251,9,53842,3358,0,1
2024-09-01,0,41,summer,rural,doctorate,sunbathing,0,1,20,162,3,89781,634,1,1
2024-09-01,2,43,fall,suburban,master,hiking,0,1,244,235,3,119815,2646,1,0
2024-09-01,2,42,summer,rural,high school,swimming,0,1,254,96,5,98244,3467,1,0
2024-09-01,2,62,winter,urban,bachelor,hiking,0,1,7,114,1,62242,2180,0,0
2024-09-01,2,58,spring,rural,high school,hiking,0,1,284,201,8,60226,1539,0,0
2024-09-01,1,46,summer,urban,master,hiking,0,1,232,281,4,86160,1046,0,0
2024-09-01,1,32,summer,rural,doctorate,skiing,0,1,290,179,4,42309,3959,0,1
2024-09-01,2,62,fall,rural,bachelor,sunbathing,0,1,185,102,6,43913,2341,0,1
2024-09-01,1,18,summer,rural,master,skiing,0,1,171,4,5,68694,2193,0,0
2024-09-01,1,42,winter,rural,bachelor,hiking,0,1,91,59,9,26568,2748,0,1
2024-09-01,2,24,spring,urban,bachelor,swimming,0,1,283,187,3,40183,1695,1,0
2024-09-01,1,26,summer,suburban,high school,sunbathing,0,1,190,48,5,33173,3653,0,0
2024-09-01,0,41,spring,rural,doctorate,sunbathing,0,1,271,284,1,110273,3502,1,0
2024-09-01,0,18,spring,rural,bachelor,swimming,0,1,123,254,8,101890,3135,1,0
2024-09-01,1,61,spring,urban,doctorate,sunbathing,0,1,173,21,3,36906,4740,0,0
2024-09-01,2,25,fall,suburban,high school,sunbathing,0,1,129,171,6,45806,4595,0,1
2024-09-01,0,41,winter,rural,master,swimming,0,1,33,157,8,30509,1584,1,1
2024-09-01,1,28,fall,urban,high school,hiking,0,1,1,232,6,23052,1975,0,1
2024-09-01,1,68,summer,rural,doctorate,skiing,0,1,167,130,2,60468,3775,1,1
2024-09-01,2,34,spring,suburban,master,skiing,0,1,17,69,1,62395,4945,0,0
2024-09-01,2,25,fall,suburban,doctorate,sunbathing,0,1,56,52,5,60554,610,1,1
2024-09-01,1,52,spring,urban,bachelor,skiing,0,1,133,270,2,88709,1547,1,1
2024-09-01,2,52,fall,urban,bachelor,sunbathing,0,1,45,274,5,52597,892,1,1
2024-09-01,0,50,fall,urban,doctorate,swimming,0,1,80,57,6,23068,1458,0,1
2024-09-01,0,22,summer,rural,bachelor,hiking,0,1,150,84,3,63579,4052,0,0
2024-09-01,1,59,fall,urban,high school,sunbathing,0,1,19,198,4,20545,4831,1,0
2024-09-01,1,56,spring,suburban,doctorate,hiking,0,1,170,17,0,109152,2217,1,0
2024-09-01,2,58,fall,suburban,master,sunbathing,0,1,240,90,0,31478,1554,0,0
2024-09-01,0,45,winter,suburban,doctorate,swimming,0,1,286,200,7,89599,3119,0,0
2024-09-01,2,24,winter,urban,master,hiking,0,1,68,79,5,77091,1804,0,1
2024-09-01,1,26,winter,suburban,doctorate,skiing,0,1,156,249,0,42888,4518,1,1
2024-09-01,1,25,fall,suburban,doctorate,hiking,0,1,76,25,4,71946,2511,1,0
2024-09-01,1,29,winter,rural,doctorate,sunbathing,0,1,164,147,4,60005,1015,1,0
2024-09-01,1,51,summer,rural,bachelor,sunbathing,0,1,69,57,7,116079,3363,0,0
2024-09-01,1,50,fall,urban,doctorate,swimming,0,1,250,50,0,61993,4317,1,0
2024-09-01,1,65,spring,urban,master,swimming,0,1,213,108,0,85314,1186,0,0
2024-09-01,2,40,fall,urban,doctorate,swimming,0,1,1,151,0,24311,1898,0,0
2024-09-01,2,41,spring,rural,bachelor,sunbathing,0,1,249,124,6,100062,1096,0,0
2024-09-01,2,54,fall,rural,high school,skiing,0,1,222,280,3,109696,1633,0,0
2024-09-01,0,52,fall,suburban,bachelor,hiking,0,1,212,73,6,67322,3563,1,1
2024-09-01,2,61,winter,rural,bachelor,swimming,0,1,259,198,9,119736,3525,0,1
2024-09-01,1,57,summer,urban,master,hiking,0,1,151,78,4,33692,523,1,1
2024-09-01,2,39,summer,rural,doctorate,sunbathing,0,1,52,231,6,54008,2204,0,1
2024-09-01,2,44,fall,suburban,high school,hiking,0,1,15,27,4,54591,690,1,0
2024-09-01,0,52,summer,urban,high school,skiing,0,1,159,72,3,97929,4067,0,1
2024-09-01,1,18,summer,rural,high school,swimming,0,1,20,60,6,72377,3443,1,1
2024-09-01,0,52,winter,urban,bachelor,hiking,0,1,223,47,5,96867,2133,0,1
2024-09-01,0,54,summer,urban,master,swimming,0,1,289,223,3,39912,2779,0,0
2024-09-01,0,64,winter,suburban,high school,hiking,0,1,263,220,0,77242,2005,0,1
2024-09-01,2,31,fall,rural,bachelor,sunbathing,0,1,8,216,6,109800,2341,0,1
