年,品目大分類,品目分類,品目名(横),都道府県,品目名,農業団体(サンプル),未使用5,カウント
2014-01-01,1,1,米,北海道,米,農業団体J,0,1105
2014-01-01,1,1,麦類,北海道,麦類,農業団体A,0,190
2014-01-01,1,1,雑穀,北海道,雑穀,農業団体G,0,17
2014-01-01,1,3,豆類,北海道,豆類,農業団体F,0,350
2014-01-01,1,2,いも類,北海道,いも類,農業団体H,0,657
2014-01-01,1,4,野菜,北海道,野菜,農業団体F,0,2116
2014-01-01,1,4,果実,北海道,果実,農業団体J,0,59
2014-01-01,1,6,花き,北海道,花き,農業団体J,0,121
2014-01-01,1,5,工芸農作物,北海道,工芸農作物,農業団体I,0,420
2014-01-01,0,0,その他の作物,北海道,その他の作物,農業団体D,0,44
2014-01-01,2,7,肉用牛,北海道,肉用牛,農業団体H,0,896
2014-01-01,2,7,生乳,北海道,生乳,農業団体A,0,3318
2014-01-01,2,7,生乳以外の乳用牛,北海道,生乳以外の乳用牛,農業団体G,0,631
2014-01-01,2,7,豚,北海道,豚,農業団体H,0,456
2014-01-01,2,7,鶏卵,北海道,鶏卵,農業団体I,0,222
2014-01-01,2,7,ブロイラー,北海道,ブロイラー,農業団体G,0,145
2014-01-01,2,7,その他の畜産物,北海道,その他の畜産物,農業団体H,0,364
2014-01-01,1,1,米,青森県,米,農業団体D,0,388
2014-01-01,1,1,麦類,青森県,麦類,農業団体A,0,0
2014-01-01,1,1,雑穀,青森県,雑穀,農業団体E,0,1
2014-01-01,1,3,豆類,青森県,豆類,農業団体A,0,8
2014-01-01,1,2,いも類,青森県,いも類,農業団体A,0,15
2014-01-01,1,4,野菜,青森県,野菜,農業団体A,0,668
2014-01-01,1,4,果実,青森県,果実,農業団体I,0,833
2014-01-01,1,6,花き,青森県,花き,農業団体G,0,19
2014-01-01,1,5,工芸農作物,青森県,工芸農作物,農業団体J,0,51
2014-01-01,0,0,その他の作物,青森県,その他の作物,農業団体J,0,14
2014-01-01,2,7,肉用牛,青森県,肉用牛,農業団体H,0,143
2014-01-01,2,7,生乳,青森県,生乳,農業団体J,0,69
2014-01-01,2,7,生乳以外の乳用牛,青森県,生乳以外の乳用牛,農業団体C,0,7
2014-01-01,2,7,豚,青森県,豚,農業団体D,0,260
2014-01-01,2,7,鶏卵,青森県,鶏卵,農業団体G,0,181
2014-01-01,2,7,ブロイラー,青森県,ブロイラー,農業団体A,0,201
2014-01-01,2,7,その他の畜産物,青森県,その他の畜産物,農業団体A,0,19
2014-01-01,2,8,加工農産物,青森県,加工農産物,農業団体A,0,1
2014-01-01,1,1,米,岩手県,米,農業団体D,0,471
2014-01-01,1,1,麦類,岩手県,麦類,農業団体A,0,2
2014-01-01,1,1,雑穀,岩手県,雑穀,農業団体F,0,4
2014-01-01,1,3,豆類,岩手県,豆類,農業団体H,0,7
2014-01-01,1,2,いも類,岩手県,いも類,農業団体D,0,5
2014-01-01,1,4,野菜,岩手県,野菜,農業団体A,0,250
2014-01-01,1,4,果実,岩手県,果実,農業団体B,0,103
2014-01-01,1,6,花き,岩手県,花き,農業団体E,0,44
2014-01-01,1,5,工芸農作物,岩手県,工芸農作物,農業団体C,0,50
2014-01-01,0,0,その他の作物,岩手県,その他の作物,農業団体G,0,7
2014-01-01,2,7,肉用牛,岩手県,肉用牛,農業団体J,0,218
2014-01-01,2,7,生乳,岩手県,生乳,農業団体G,0,226
2014-01-01,2,7,生乳以外の乳用牛,岩手県,生乳以外の乳用牛,農業団体D,0,20
2014-01-01,2,7,豚,岩手県,豚,農業団体B,0,270
2014-01-01,2,7,鶏卵,岩手県,鶏卵,農業団体A,0,130
2014-01-01,2,7,ブロイラー,岩手県,ブロイラー,農業団体C,0,515
2014-01-01,2,7,その他の畜産物,岩手県,その他の畜産物,農業団体C,0,30
2014-01-01,2,8,加工農産物,岩手県,加工農産物,農業団体E,0,0
2014-01-01,1,1,米,宮城県,米,農業団体H,0,602
2014-01-01,1,1,麦類,宮城県,麦類,農業団体G,0,2
2014-01-01,1,1,雑穀,宮城県,雑穀,農業団体A,0,0
2014-01-01,1,3,豆類,宮城県,豆類,農業団体F,0,23
2014-01-01,1,2,いも類,宮城県,いも類,農業団体J,0,6
2014-01-01,1,4,野菜,宮城県,野菜,農業団体C,0,245
2014-01-01,1,4,果実,宮城県,果実,農業団体D,0,22
2014-01-01,1,6,花き,宮城県,花き,農業団体G,0,28
2014-01-01,1,5,工芸農作物,宮城県,工芸農作物,農業団体I,0,2
2014-01-01,0,0,その他の作物,宮城県,その他の作物,農業団体D,0,7
2014-01-01,2,7,肉用牛,宮城県,肉用牛,農業団体J,0,213
2014-01-01,2,7,生乳,宮城県,生乳,農業団体G,0,123
2014-01-01,2,7,生乳以外の乳用牛,宮城県,生乳以外の乳用牛,農業団体F,0,9
2014-01-01,2,7,豚,宮城県,豚,農業団体J,0,132
2014-01-01,2,7,鶏卵,宮城県,鶏卵,農業団体B,0,162
2014-01-01,2,7,ブロイラー,宮城県,ブロイラー,農業団体H,0,45
2014-01-01,2,7,その他の畜産物,宮城県,その他の畜産物,農業団体F,0,6
2014-01-01,2,8,加工農産物,宮城県,加工農産物,農業団体J,0,2
2014-01-01,1,1,米,秋田県,米,農業団体H,0,773
2014-01-01,1,1,麦類,秋田県,麦類,農業団体J,0,0
2014-01-01,1,1,雑穀,秋田県,雑穀,農業団体I,0,1
2014-01-01,1,3,豆類,秋田県,豆類,農業団体E,0,14
2014-01-01,1,2,いも類,秋田県,いも類,農業団体H,0,7
2014-01-01,1,4,野菜,秋田県,野菜,農業団体G,0,235
2014-01-01,1,4,果実,秋田県,果実,農業団体D,0,63
2014-01-01,1,6,花き,秋田県,花き,農業団体J,0,27
2014-01-01,1,5,工芸農作物,秋田県,工芸農作物,農業団体F,0,16
2014-01-01,0,0,その他の作物,秋田県,その他の作物,農業団体H,0,5
2014-01-01,2,7,肉用牛,秋田県,肉用牛,農業団体A,0,45
2014-01-01,2,7,生乳,秋田県,生乳,農業団体A,0,29
2014-01-01,2,7,生乳以外の乳用牛,秋田県,生乳以外の乳用牛,農業団体F,0,3
2014-01-01,2,7,豚,秋田県,豚,農業団体I,0,182
2014-01-01,2,7,鶏卵,秋田県,鶏卵,農業団体H,0,58
2014-01-01,2,8,加工農産物,秋田県,加工農産物,農業団体I,0,1
