年,地域,企業,産業大分類(横),都道府県,産業大分類,業種中分類,未使用,カウント
2009-01-01,1,0,農業，林業,北海道,農業,農業,0,60
2009-01-01,1,1,農業，林業,北海道,林業,林業,0,11
2009-01-01,1,0,漁業,北海道,漁業（水産養殖業を除く）,漁業（水産養殖業を除く）,0,0
2009-01-01,1,1,漁業,北海道,水産養殖業,水産養殖業,0,3
2009-01-01,1,1,鉱業，採石業，砂利採取業,北海道,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,0,9
2009-01-01,1,3,建設業,北海道,総合工事業,総合工事業,0,2158
2009-01-01,1,0,建設業,北海道,職別工事業（設備工事業を除く）,職別工事業（設備工事業を除く）,0,2668
2009-01-01,1,2,建設業,北海道,設備工事業,設備工事業,0,2026
2009-01-01,1,2,製造業,北海道,食料品製造業,食料品製造業,0,329
2009-01-01,1,0,製造業,北海道,飲料・たばこ・飼料製造業,飲料・たばこ・飼料製造業,0,33
2009-01-01,1,3,製造業,北海道,繊維工業,繊維工業,0,142
2009-01-01,1,2,製造業,北海道,木材・木製品製造業（家具を除く）,木材・木製品製造業（家具を除く）,0,44
2009-01-01,1,3,製造業,北海道,家具・装備品製造業,家具・装備品製造業,0,202
2009-01-01,1,0,製造業,北海道,パルプ・紙・紙加工品製造業,パルプ・紙・紙加工品製造業,0,37
2009-01-01,1,1,製造業,北海道,印刷・同関連業,印刷・同関連業,0,392
2009-01-01,1,1,製造業,北海道,化学工業,化学工業,0,39
2009-01-01,1,1,製造業,北海道,石油製品・石炭製品製造業,石油製品・石炭製品製造業,0,8
2009-01-01,1,0,製造業,北海道,プラスチック製品製造業（別掲を除く）,プラスチック製品製造業（別掲を除く）,0,76
2009-01-01,1,1,製造業,北海道,ゴム製品製造業,ゴム製品製造業,0,13
2009-01-01,1,3,製造業,北海道,なめし革・同製品・毛皮製造業,なめし革・同製品・毛皮製造業,0,8
2009-01-01,1,3,製造業,北海道,窯業・土石製品製造業,窯業・土石製品製造業,0,74
2009-01-01,1,3,製造業,北海道,鉄鋼業,鉄鋼業,0,21
2009-01-01,1,2,製造業,北海道,非鉄金属製造業,非鉄金属製造業,0,2
2009-01-01,1,0,製造業,北海道,金属製品製造業,金属製品製造業,0,328
2009-01-01,1,0,製造業,北海道,はん用機械器具製造業,はん用機械器具製造業,0,112
2009-01-01,1,0,製造業,北海道,生産用機械器具製造業,生産用機械器具製造業,0,108
2009-01-01,1,3,製造業,北海道,業務用機械器具製造業,業務用機械器具製造業,0,36
2009-01-01,1,3,製造業,北海道,電子部品・デバイス・電子回路製造業,電子部品・デバイス・電子回路製造業,0,10
2009-01-01,1,2,製造業,北海道,電気機械器具製造業,電気機械器具製造業,0,74
2009-01-01,1,3,製造業,北海道,情報通信機械器具製造業,情報通信機械器具製造業,0,17
2009-01-01,1,2,製造業,北海道,輸送用機械器具製造業,輸送用機械器具製造業,0,22
2009-01-01,1,0,製造業,北海道,その他の製造業,その他の製造業,0,296
2009-01-01,1,1,電気・ガス・熱供給・水道業,北海道,電気業,電気業,0,9
2009-01-01,1,1,電気・ガス・熱供給・水道業,北海道,ガス業,ガス業,0,1
2009-01-01,1,1,電気・ガス・熱供給・水道業,北海道,熱供給業,熱供給業,0,2
2009-01-01,1,1,電気・ガス・熱供給・水道業,北海道,水道業,水道業,0,4
2009-01-01,1,1,情報通信業,北海道,通信業,通信業,0,44
2009-01-01,1,3,情報通信業,北海道,放送業,放送業,0,14
2009-01-01,1,1,情報通信業,北海道,情報サービス業,情報サービス業,0,599
2009-01-01,1,2,情報通信業,北海道,インターネット附随サービス業,インターネット附随サービス業,0,111
2009-01-01,1,1,情報通信業,北海道,映像・音声・文字情報制作業,映像・音声・文字情報制作業,0,302
2009-01-01,1,1,運輸業，郵便業,北海道,鉄道業,鉄道業,0,3
2009-01-01,1,2,運輸業，郵便業,北海道,道路旅客運送業,道路旅客運送業,0,501
2009-01-01,1,3,運輸業，郵便業,北海道,道路貨物運送業,道路貨物運送業,0,566
2009-01-01,1,1,運輸業，郵便業,北海道,水運業,水運業,0,0
2009-01-01,1,2,運輸業，郵便業,北海道,航空運輸業,航空運輸業,0,2
2009-01-01,1,2,運輸業，郵便業,北海道,倉庫業,倉庫業,0,37
2009-01-01,1,0,運輸業，郵便業,北海道,運輸に附帯するサービス業,運輸に附帯するサービス業,0,60
2009-01-01,1,1,運輸業，郵便業,北海道,郵便業（信書便事業を含む）,郵便業（信書便事業を含む）,0,0
2009-01-01,1,3,卸売業，小売業,北海道,各種商品卸売業,各種商品卸売業,0,2
2009-01-01,1,2,卸売業，小売業,北海道,繊維・衣服等卸売業,繊維・衣服等卸売業,0,208
2009-01-01,1,0,卸売業，小売業,北海道,飲食料品卸売業,飲食料品卸売業,0,733
2009-01-01,1,3,卸売業，小売業,北海道,建築材料，鉱物・金属材料等卸売業,建築材料，鉱物・金属材料等卸売業,0,681
2009-01-01,1,1,卸売業，小売業,北海道,機械器具卸売業,機械器具卸売業,0,923
2009-01-01,1,3,卸売業，小売業,北海道,その他の卸売業,その他の卸売業,0,874
2009-01-01,1,0,卸売業，小売業,北海道,各種商品小売業,各種商品小売業,0,5
2009-01-01,1,2,卸売業，小売業,北海道,織物・衣服・身の回り品小売業,織物・衣服・身の回り品小売業,0,695
2009-01-01,1,0,卸売業，小売業,北海道,飲食料品小売業,飲食料品小売業,0,2215
2009-01-01,1,3,卸売業，小売業,北海道,機械器具小売業,機械器具小売業,0,1104
2009-01-01,1,0,卸売業，小売業,北海道,その他の小売業,その他の小売業,0,2705
