年月,未使用2,未使用3,店舗タイプ,都道府県,未使用1,未使用4,ジョブカテゴリ,カウント
2013-09-01,-,-,総合,北海道,-,-,0,89
2013-09-01,-,-,総合,青森県,-,-,0,18
2013-09-01,-,-,総合,岩手県,-,-,0,14
2013-09-01,-,-,総合,宮城県,-,-,0,23
2013-09-01,-,-,総合,秋田県,-,-,0,18
2013-09-01,-,-,総合,山形県,-,-,0,8
2013-09-01,-,-,総合,福島県,-,-,0,20
2013-09-01,-,-,総合,茨城県,-,-,0,32
2013-09-01,-,-,総合,栃木県,-,-,0,24
2013-09-01,-,-,総合,群馬県,-,-,0,38
2013-09-01,-,-,総合,埼玉県,-,-,0,83
2013-09-01,-,-,総合,千葉県,-,-,0,97
2013-09-01,-,-,総合,東京都,-,-,0,159
2013-09-01,-,-,総合,神奈川県,-,-,0,109
2013-09-01,-,-,総合,新潟県,-,-,0,31
2013-09-01,-,-,総合,山梨県,-,-,0,10
2013-09-01,-,-,総合,長野県,-,-,0,37
2013-09-01,-,-,総合,富山県,-,-,0,13
2013-09-01,-,-,総合,石川県,-,-,0,18
2013-09-01,-,-,総合,福井県,-,-,0,11
2013-09-01,-,-,総合,岐阜県,-,-,0,35
2013-09-01,-,-,総合,静岡県,-,-,0,31
2013-09-01,-,-,総合,愛知県,-,-,0,106
2013-09-01,-,-,総合,三重県,-,-,0,34
2013-09-01,-,-,総合,滋賀県,-,-,0,45
2013-09-01,-,-,総合,京都府,-,-,0,51
2013-09-01,-,-,総合,大阪府,-,-,0,194
2013-09-01,-,-,総合,兵庫県,-,-,0,83
2013-09-01,-,-,総合,奈良県,-,-,0,26
2013-09-01,-,-,総合,和歌山県,-,-,0,8
2013-09-01,-,-,総合,鳥取県,-,-,0,8
2013-09-01,-,-,総合,島根県,-,-,0,12
2013-09-01,-,-,総合,岡山県,-,-,0,24
2013-09-01,-,-,総合,広島県,-,-,0,40
2013-09-01,-,-,総合,山口県,-,-,0,26
2013-09-01,-,-,総合,徳島県,-,-,0,5
2013-09-01,-,-,総合,香川県,-,-,0,13
2013-09-01,-,-,総合,愛媛県,-,-,0,12
2013-09-01,-,-,総合,高知県,-,-,0,7
2013-09-01,-,-,総合,福岡県,-,-,0,85
2013-09-01,-,-,総合,佐賀県,-,-,0,15
2013-09-01,-,-,総合,長崎県,-,-,0,18
